Date,Day,Stratum,Start Latitude,Start Longitude,Station Code,Region,Sub-Region,Time Start,Avg E/C (µS),Avg Temp (°C),Avg Turbidity (NTU),Avg Secchi (M),Avg Start Depth (M),Method,Number of Tows,TowDuration,TowDirection,Species,Catch,FL Range (mm),Expression,Stage,Mark,Comments
6/29/2020,Mon,Suisun Marsh,38.7848,-122.00648,20-49-SM01,West,Suisun Marsh,8:33,10646.5,22.08,26.03,0.4,6.38,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Twist in net)
6/29/2020,Mon,Suisun Marsh,38.14715,-122.06893,20-49-SM02,West,Suisun Marsh,10:16,15095.75,21.78,25.53,0.43,3.1,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,Tow 2 was code 2 (Net stuck on bottom at end of tow; mud in net)
6/29/2020,Mon,Suisun Marsh,38.1005,-122.05514,20-49-GB01,West,Grizzly Bay,11:54,15648,21.2,18.78,0.52,4.95,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
6/29/2020,Mon,Lower Sacramento,38.07985,-121.75668,20-49-LSR02,West,Lower Sacramento River,8:59,240.4,22.43,9.94,0.86,9.73,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/29/2020,Mon,Lower Sacramento,38.11859,-121.70141,20-49-RV03,North,Sacramento River near Rio Vista,10:33,176.75,22.88,8.33,1.07,9.18,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,"Tow 1 was code 2 (Twist in net, partial blockage)"
6/29/2020,Mon,Lower Sacramento,38.13618,-121.68906,20-49-RV04,North,Sacramento River near Rio Vista,12:03,172.08,22.85,6.29,1.67,4.95,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
6/29/2020,Mon,Cache Slough and Liberty Island,38.32585,-121.65277,20-49-CS01,North,Cache Slough/Liberty Island,12:12,175.83,21.08,17.73,0.72,3.65,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/29/2020,Mon,Cache Slough and Liberty Island,38.2569,-121.73551,20-49-CS02,North,Cache Slough/Liberty Island,8:41,171.38,21.48,7.63,1.23,4.33,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,"Tow 1 was code 2 (Twist in net); Tow 2 was code 2 (Distance from site exceeded target distance, was 0.59 mi at stop); Tow 4 was code 2 (Distance from site exceeded target distance, was 0.7 mi at stop)"
6/29/2020,Mon,Cache Slough and Liberty Island,38.27418,-121.69443,20-49-CS03,North,Cache Slough/Liberty Island,10:29,158.9,21.6,9.37,1.03,5.43,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/30/2020,Tues,Lower Sacramento,38.07388,-121.76615,20-49-LSR01,West,Lower Sacramento River,8:43,206.23,22.68,7.44,1.26,9.43,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
