# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-11-18 16:38:05 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455478 SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11455478
#            TS   parameter     Description
#         16209       00010     Temperature, water, degrees Celsius, [HYDRO EXO]
#         16210       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, [HYDRO EXO]
#         16212       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), MEDIAN TS087: YSI model 6136
#         16214       00010     Temperature, water, degrees Celsius, BGC PROJECT
#         16215       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, BGC PROJECT
#         16218       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), BGC PROJECT
#        248800       32316     Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material, micrograms per liter as chlorophyll, BGC PROJECT
#        257815       00480     Salinity, water, unfiltered, parts per thousand, BGC PROJECT
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	16214_00010	16214_00010_cd	16215_00095	16215_00095_cd	16218_63680	16218_63680_cd	248800_32316	248800_32316_cd	257815_00480	257815_00480_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	11455478	2020-06-01 00:00	PST	21.6	P	360	P	14.4	P	3.6	P	0.2	P
USGS	11455478	2020-06-01 00:15	PST	21.6	P	381	P	14.8	P	3.5	P	0.2	P
USGS	11455478	2020-06-01 00:30	PST	21.6	P	414	P	13.6	P	3.5	P	0.2	P
USGS	11455478	2020-06-01 00:45	PST	21.6	P	435	P	13.7	P	3.4	P	0.2	P
USGS	11455478	2020-06-01 01:00	PST	21.6	P	455	P	14.2	P	3.4	P	0.2	P
USGS	11455478	2020-06-01 01:15	PST	21.6	P	457	P	12.6	P	3.4	P	0.2	P
USGS	11455478	2020-06-01 01:30	PST	21.6	P	450	P	12.2	P	3.3	P	0.2	P
USGS	11455478	2020-06-01 01:45	PST	21.6	P	443	P	12.3	P	3.2	P	0.2	P
USGS	11455478	2020-06-01 02:00	PST	21.6	P	431	P	11.9	P	3.3	P	0.2	P
USGS	11455478	2020-06-01 02:15	PST	21.6	P	390	P	11.4	P	3.3	P	0.2	P
USGS	11455478	2020-06-01 02:30	PST	21.6	P	347	P	9.8	P	3.2	P	0.2	P
USGS	11455478	2020-06-01 02:45	PST	21.7	P	311	P	10.8	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 03:00	PST	21.8	P	282	P	11.6	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 03:15	PST	21.8	P	255	P	11.3	P	3.4	P	0.1	P
USGS	11455478	2020-06-01 03:30	PST	21.8	P	234	P	11.2	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 03:45	PST	21.9	P	219	P	11.2	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 04:00	PST	21.9	P	216	P	12.2	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 04:15	PST	21.9	P	208	P	13.8	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 04:30	PST	22.0	P	190	P	15.9	P	3.4	P	0.1	P
USGS	11455478	2020-06-01 04:45	PST	22.0	P	184	P	14.7	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 05:00	PST	22.1	P	181	P	14.0	P	3.0	P	0.1	P
USGS	11455478	2020-06-01 05:15	PST	22.1	P	178	P	13.5	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 05:30	PST	22.2	P	175	P	13.0	P	2.8	P	0.1	P
USGS	11455478	2020-06-01 05:45	PST	22.3	P	174	P	12.4	P	2.7	P	0.1	P
USGS	11455478	2020-06-01 06:00	PST	22.3	P	172	P	12.3	P	2.6	P	0.1	P
USGS	11455478	2020-06-01 06:15	PST	22.3	P	170	P	13.4	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 06:30	PST	22.4	P	169	P	10.6	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 06:45	PST	22.4	P	168	P	11.4	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 07:00	PST	22.4	P	168	P	9.3	P	2.3	P	0.1	P
USGS	11455478	2020-06-01 07:15	PST	22.4	P	168	P	9.4	P	2.2	P	0.1	P
USGS	11455478	2020-06-01 07:30	PST	22.4	P	169	P	8.5	P	2.3	P	0.1	P
