"","Year","Date","Survey","Station","turbidity","Secchi"
"1",1969,1969-10-16,4,"102",5,1.42999994754791
"2",1969,1969-10-16,4,"103",7,1.14999997615814
"3",1969,1969-10-16,4,"104",6,1.26999998092651
"4",1969,1969-10-16,4,"105",7,1.14999997615814
"5",1969,1969-10-16,4,"106",6,1.26999998092651
"6",1969,1969-10-16,4,"107",7,1.14999997615814
"7",1969,1969-10-16,4,"108",4,1.62000000476837
"8",1969,1969-10-16,4,"109",5,1.42999994754791
"9",1969,1969-10-16,4,"110",5,1.42999994754791
"10",1969,1969-10-16,4,"111",4,1.62000000476837
"11",1969,1969-10-16,4,"112",4,1.62000000476837
"12",1969,1969-10-16,4,"113",3,1.87999999523163
"13",1969,1969-10-16,4,"201",3,1.87999999523163
"14",1969,1969-10-16,4,"202",4,1.62000000476837
"15",1969,1969-10-16,4,"203",4,1.62000000476837
"16",1969,1969-10-16,4,"204",2,2.23000001907349
"17",1969,1969-10-16,4,"205",4,1.62000000476837
"18",1969,1969-10-16,4,"206",6,1.26999998092651
"19",1969,1969-10-16,4,"207",6,1.26999998092651
"20",1969,1969-10-17,4,"208",4,1.62000000476837
"21",1969,1969-10-17,4,"209",6,1.26999998092651
"22",1969,1969-10-17,4,"210",5,1.42999994754791
"23",1969,1969-10-17,4,"211",9,0.970000028610229
"24",1969,1969-10-17,4,"301",15,0.649999976158142
"25",1969,1969-10-18,4,"302",9,0.970000028610229
"26",1969,1969-10-17,4,"305",8,1.04999995231628
"27",1969,1969-10-17,4,"313",10,0.889999985694885
"28",1969,1969-10-17,4,"314",11,0.829999983310699
"29",1969,1969-10-17,4,"316",14,0.689999997615814
"30",1969,1969-10-18,4,"320",8,1.04999995231628
"31",1969,1969-10-18,4,"321",12,0.779999971389771
"32",1969,1969-10-18,4,"323",9,0.970000028610229
"33",1969,1969-10-17,4,"324",10,0.889999985694885
"34",1969,1969-10-17,4,"328",8,1.04999995231628
"35",1969,1969-10-17,4,"329",10,0.889999985694885
"36",1969,1969-10-17,4,"332",14,0.689999997615814
"37",1969,1969-10-17,4,"334",15,0.649999976158142
"38",1969,1969-10-17,4,"338",8,1.04999995231628
"39",1969,1969-10-18,4,"405",15,0.649999976158142
"40",1969,1969-10-21,4,"409",28,0.379999995231628
"41",1969,1969-10-21,4,"410",30,0.360000014305115
"42",1969,1969-10-21,4,"411",28,0.379999995231628
"43",1969,1969-10-21,4,"412",29,0.370000004768372
"44",1969,1969-10-21,4,"413",24,0.439999997615814
"45",1969,1969-10-20,4,"414",33,0.330000013113022
"46",1969,1969-10-20,4,"416",38,0.28999999165535
"47",1969,1969-10-20,4,"418",37,0.300000011920929
"48",1969,1969-10-20,4,"419",57,0.200000002980232
"49",1969,1969-10-21,4,"501",32,0.340000003576279
"50",1969,1969-10-21,4,"503",52,0.219999998807907
"51",1969,1969-10-21,4,"504",24,0.439999997615814
"52",1969,1969-10-21,4,"505",22,0.469999998807907
"53",1969,1969-10-21,4,"506",21,0.490000009536743
"54",1969,1969-10-21,4,"507",28,0.379999995231628
"55",1969,1969-10-21,4,"508",22,0.469999998807907
"56",1969,1969-10-21,4,"509",22,0.469999998807907
"57",1969,1969-10-22,4,"510",22,0.469999998807907
"58",1969,1969-10-22,4,"511",22,0.469999998807907
"59",1969,1969-10-22,4,"512",19,0.529999971389771
"60",1969,1969-10-22,4,"513",18,0.560000002384186
"61",1969,1969-10-22,4,"514",15,0.649999976158142
"62",1969,1969-10-20,4,"515",28,0.379999995231628
"63",1969,1969-10-20,4,"516",24,0.439999997615814
"64",1969,1969-10-20,4,"517",33,0.330000013113022
"65",1969,1969-10-21,4,"518",28,0.379999995231628
"66",1969,1969-10-21,4,"519",36,0.310000002384186
"67",1969,1969-10-20,4,"601",46,0.239999994635582
"68",1969,1969-10-20,4,"602",40,0.280000001192093
"69",1969,1969-10-20,4,"603",38,0.28999999165535
"70",1969,1969-10-20,4,"604",36,0.310000002384186
"71",1969,1969-10-20,4,"605",32,0.340000003576279
"72",1969,1969-10-20,4,"606",29,0.370000004768372
"73",1969,1969-10-20,4,"607",34,0.319999992847443
"74",1969,1969-10-22,4,"608",27,0.400000005960464
"75",1969,1969-10-22,4,"701",20,0.509999990463257
"76",1969,1969-10-22,4,"702",16,0.620000004768372
"77",1969,1969-10-22,4,"703",15,0.649999976158142
"78",1969,1969-10-22,4,"704",13,0.730000019073486
"79",1969,1969-10-22,4,"705",12,0.779999971389771
"80",1969,1969-10-22,4,"706",13,0.730000019073486
"81",1969,1969-10-22,4,"707",13,0.730000019073486
"82",1969,1969-10-18,4,"709",12,0.779999971389771
"83",1969,1969-10-23,4,"801",13,0.730000019073486
"84",1969,1969-10-23,4,"802",12,0.779999971389771
"85",1969,1969-10-23,4,"803",13,0.730000019073486
"86",1969,1969-10-23,4,"804",14,0.689999997615814
"87",1969,1969-10-23,4,"805",13,0.730000019073486
"88",1969,1969-10-23,4,"806",13,0.730000019073486
"89",1969,1969-10-23,4,"807",11,0.829999983310699
"90",1969,1969-10-23,4,"808",12,0.779999971389771
"91",1969,1969-10-23,4,"809",11,0.829999983310699
"92",1969,1969-10-23,4,"810",12,0.779999971389771
"93",1969,1969-10-23,4,"811",16,0.620000004768372
"94",1969,1969-10-23,4,"812",12,0.779999971389771
"95",1969,1969-10-23,4,"813",12,0.779999971389771
"96",1969,1969-10-23,4,"814",12,0.779999971389771
"97",1969,1969-10-23,4,"815",13,0.730000019073486
"98",1969,1969-10-23,4,"901",12,0.779999971389771
"99",1969,1969-10-24,4,"902",15,0.649999976158142
"100",1969,1969-10-23,4,"903",12,0.779999971389771
"101",1969,1969-10-24,4,"904",13,0.730000019073486
"102",1969,1969-10-24,4,"905",17,0.589999973773956
"103",1969,1969-10-24,4,"906",13,0.730000019073486
"104",1969,1969-10-24,4,"907",11,0.829999983310699
"105",1969,1969-10-24,4,"908",17,0.589999973773956
"106",1969,1969-10-24,4,"909",15,0.649999976158142
"107",1969,1969-10-24,4,"910",16,0.620000004768372
"108",1969,1969-10-24,4,"911",16,0.620000004768372
"109",1969,1969-10-24,4,"913",16,0.620000004768372
"110",1969,1969-10-24,4,"914",18,0.560000002384186
"111",1969,1969-10-24,4,"915",17,0.589999973773956
"112",1969,1969-12-11,6,"101",5,1.42999994754791
"113",1969,1969-12-11,6,"102",5,1.42999994754791
"114",1969,1969-12-11,6,"103",7,1.14999997615814
"115",1969,1969-12-11,6,"104",6,1.26999998092651
"116",1969,1969-12-11,6,"105",6,1.26999998092651
"117",1969,1969-12-11,6,"106",8,1.04999995231628
"118",1969,1969-12-11,6,"107",6,1.26999998092651
"119",1969,1969-12-11,6,"108",5,1.42999994754791
"120",1969,1969-12-11,6,"109",4,1.62000000476837
"121",1969,1969-12-11,6,"110",4,1.62000000476837
"122",1969,1969-12-11,6,"111",4,1.62000000476837
"123",1969,1969-12-11,6,"112",3,1.87999999523163
"124",1969,1969-12-11,6,"113",4,1.62000000476837
"125",1969,1969-12-11,6,"204",4,1.62000000476837
"126",1969,1969-12-11,6,"205",4,1.62000000476837
"127",1969,1969-12-11,6,"206",5,1.42999994754791
"128",1969,1969-12-11,6,"207",5,1.42999994754791
"129",1969,1969-12-11,6,"208",4,1.62000000476837
"130",1969,1969-12-11,6,"209",3,1.87999999523163
"131",1969,1969-12-12,6,"210",5,1.42999994754791
"132",1969,1969-12-12,6,"211",18,0.560000002384186
"133",1969,1969-12-12,6,"302",25,0.419999986886978
"134",1969,1969-12-12,6,"305",10,0.889999985694885
"135",1969,1969-12-14,6,"313",20,0.509999990463257
"136",1969,1969-12-14,6,"314",10,0.889999985694885
