DateTime,Salinity,SpecCond
8/4/2020 13:00,9.66,16265.02
8/4/2020 14:00,10,16776.41
8/4/2020 15:00,9.97,16726.13
8/4/2020 16:00,9.64,16223.49
8/4/2020 17:00,9.61,16178.38
8/4/2020 18:00,9.59,16147.46
8/4/2020 19:00,9.73,16367.9
8/4/2020 20:00,9.84,16534.76
8/4/2020 21:00,9.77,16436.47
8/4/2020 22:00,9.76,16427.23
8/4/2020 23:00,9.02,15296.71
8/5/2020 0:00,9.05,15346.73
8/5/2020 1:00,9.27,15689.72
8/5/2020 2:00,9.46,15982.85
8/5/2020 3:00,9.35,15803.58
8/5/2020 4:00,9.17,15527.2
8/5/2020 5:00,9.36,15832.94
8/5/2020 6:00,9.36,15845.55
8/5/2020 7:00,9.49,16048.05
8/5/2020 8:00,9.58,16192.24
8/5/2020 9:00,9.66,16310.74
8/5/2020 10:00,9.75,16446.34
8/5/2020 11:00,9.82,16554.02
8/5/2020 12:00,9.87,16630.75
8/5/2020 13:00,9.09,15384.99
8/5/2020 14:00,9,15233.79
8/5/2020 15:00,8.95,15151.12
8/5/2020 16:00,9.49,16004.56
8/5/2020 17:00,9.96,16742.78
8/5/2020 18:00,9.9,16648.04
8/5/2020 19:00,9.96,16743.1
8/5/2020 20:00,9.18,15521.9
8/5/2020 21:00,9.02,15282.24
8/5/2020 22:00,9.23,15606.8
8/5/2020 23:00,9.22,15597.49
8/6/2020 0:00,8.65,14741.23
8/6/2020 1:00,8.74,14879.37
8/6/2020 2:00,8.99,15264.84
8/6/2020 6:00,9.32,15783.35
8/6/2020 7:00,9.1,15444.93
8/6/2020 8:00,9.3,15766.56
8/6/2020 9:00,9.44,15978.43
8/6/2020 10:00,9.5,16070.77
8/6/2020 11:00,9.55,16130.35
8/6/2020 12:00,9.57,16169.04
8/6/2020 13:00,9.59,16186.61
8/6/2020 14:00,9.36,15798.87
8/6/2020 15:00,9.05,15310.32
8/6/2020 16:00,8.96,15174.94
8/6/2020 17:00,9.05,15316.92
8/6/2020 18:00,9.04,15295.12
8/6/2020 19:00,9.03,15280
8/6/2020 20:00,9,15227.7
8/6/2020 21:00,9.06,15332.82
8/6/2020 22:00,9.22,15582.53
8/6/2020 23:00,9.39,15843.59
8/7/2020 0:00,8.96,15199.32
8/7/2020 2:00,8.51,14505.13
8/7/2020 3:00,8.67,14757.38
8/7/2020 4:00,8.78,14916.35
8/7/2020 5:00,8.79,14937.5
8/7/2020 6:00,8.71,14820.95
8/7/2020 7:00,8.63,14693.12
8/7/2020 8:00,8.84,15022.82
8/7/2020 9:00,9.26,15686.44
8/7/2020 10:00,9.47,16004.2
8/7/2020 11:00,9.54,16106.63
8/7/2020 12:00,9.58,16166.47
8/7/2020 13:00,9.62,16223.86
8/7/2020 14:00,9.5,15997.89
8/7/2020 15:00,8.93,15113.18
8/7/2020 16:00,8.85,15000.67
8/7/2020 17:00,8.85,14995.67
8/7/2020 18:00,8.95,15154.75
8/7/2020 20:00,8.87,15030.85
8/7/2020 21:00,8.88,15034.69
8/7/2020 22:00,8.94,15141.58
8/7/2020 23:00,9.1,15396.6
8/8/2020 0:00,9.18,15520.39
8/8/2020 1:00,8.9,15094.14
8/8/2020 2:00,8.86,15045.65
8/8/2020 3:00,8.91,15119.25
8/8/2020 4:00,8.94,15170.07
8/8/2020 5:00,8.97,15211.79
8/8/2020 6:00,8.98,15231.21
8/8/2020 8:00,8.91,15122.62
8/8/2020 9:00,8.94,15167.37
8/8/2020 10:00,9.35,15812.74
8/8/2020 11:00,9.55,16117.3
8/8/2020 12:00,9.62,16216.76
8/8/2020 13:00,9.65,16261.63
8/8/2020 14:00,9.09,15359.75
8/8/2020 15:00,8.84,14983.61
8/8/2020 16:00,8.87,15021.61
8/8/2020 17:00,8.81,14938.78
8/8/2020 18:00,8.76,14861.89
8/8/2020 19:00,8.8,14922.15
8/8/2020 20:00,8.8,14928.23
8/8/2020 21:00,8.85,14999.2
8/8/2020 22:00,8.87,15030.99
8/8/2020 23:00,9.08,15366.85
8/9/2020 0:00,9.33,15753.12
8/9/2020 1:00,9.44,15928.38
8/9/2020 2:00,9.12,15446.03
8/9/2020 3:00,9.04,15322.26
8/9/2020 4:00,9.01,15274.53
8/9/2020 5:00,9.16,15525.33
8/9/2020 6:00,9.28,15702.62
8/9/2020 7:00,9.26,15685.21
8/9/2020 8:00,9.08,15399.15
8/9/2020 9:00,9.02,15290.78
8/9/2020 10:00,9.26,15661.56
8/9/2020 11:00,9.47,15984.59
8/9/2020 12:00,9.55,16108.65
8/9/2020 14:00,9.54,16057.09
8/9/2020 15:00,9.44,15915.37
8/9/2020 16:00,9.77,16431.58
8/9/2020 17:00,9.77,16426.37
8/9/2020 18:00,9.78,16432.92
8/9/2020 19:00,9.68,16284.68
8/9/2020 20:00,9.83,16527.74
8/9/2020 21:00,9.74,16377.35
8/9/2020 22:00,9.81,16485.03
8/9/2020 23:00,9.8,16477.8
8/10/2020 0:00,9.77,16436.37
8/10/2020 1:00,9.81,16493.37
8/10/2020 2:00,9.82,16525.03
8/10/2020 3:00,9.99,16818.74
8/10/2020 4:00,9.92,16709.69
8/10/2020 5:00,10.1,16982.94
8/10/2020 6:00,10.08,16948.04
8/10/2020 7:00,10.06,16929.84
8/10/2020 8:00,10.05,16907.95
8/10/2020 9:00,10.09,16972.5
8/10/2020 10:00,10.01,16841.25
8/10/2020 11:00,9.92,16692.73
8/10/2020 12:00,9.89,16636.46
8/10/2020 13:00,9.9,16653.01
8/10/2020 14:00,9.98,16747.44
8/10/2020 15:00,9.76,16418.5
8/10/2020 16:00,9.73,16375.28
8/10/2020 18:00,9.55,16093.92
