Year,Month,Day,Hour,Minute,Second,salinity
2018,7,1,0,0,0,4.98
2018,7,1,0,15,0,5.04
2018,7,1,0,30,0,5.09
2018,7,1,0,45,0,5.14
2018,7,1,1,0,0,5.21
2018,7,1,1,15,0,5.27
2018,7,1,1,30,0,5.33
2018,7,1,1,45,0,5.38
2018,7,1,2,0,0,5.42
2018,7,1,2,15,0,5.47
2018,7,1,2,30,0,5.51
2018,7,1,2,45,0,5.57
2018,7,1,3,0,0,5.63
2018,7,1,3,15,0,5.7
2018,7,1,3,30,0,5.76
2018,7,1,3,45,0,5.81
2018,7,1,4,0,0,5.86
2018,7,1,4,15,0,5.89
2018,7,1,4,30,0,5.9
2018,7,1,4,45,0,5.88
2018,7,1,5,0,0,5.84
2018,7,1,5,15,0,5.79
2018,7,1,5,30,0,5.69
2018,7,1,5,45,0,5.54
2018,7,1,6,0,0,5.46
2018,7,1,6,15,0,5.41
2018,7,1,6,30,0,5.38
2018,7,1,6,45,0,5.35
2018,7,1,7,0,0,5.31
2018,7,1,7,15,0,5.27
2018,7,1,7,30,0,5.21
2018,7,1,7,45,0,5.14
2018,7,1,8,0,0,5.07
2018,7,1,8,15,0,5.03
2018,7,1,8,30,0,4.97
2018,7,1,8,45,0,4.9
2018,7,1,9,0,0,4.78
2018,7,1,9,15,0,4.59
2018,7,1,9,30,0,4.44
2018,7,1,9,45,0,4.32
2018,7,1,10,0,0,4.24
2018,7,1,10,15,0,4.19
2018,7,1,10,30,0,4.15
2018,7,1,10,45,0,4.13
2018,7,1,11,0,0,4.13
2018,7,1,11,15,0,4.13
2018,7,1,11,30,0,4.14
2018,7,1,11,45,0,4.14
2018,7,1,12,0,0,4.13
2018,7,1,12,15,0,4.12
2018,7,1,12,30,0,4.11
2018,7,1,12,45,0,4.12
2018,7,1,13,0,0,4.13
2018,7,1,13,15,0,4.14
2018,7,1,13,30,0,4.14
2018,7,1,13,45,0,4.14
2018,7,1,14,0,0,4.14
2018,7,1,14,15,0,4.18
2018,7,1,14,30,0,4.24
2018,7,1,14,45,0,4.33
2018,7,1,15,0,0,4.42
2018,7,1,15,15,0,4.52
2018,7,1,15,30,0,4.64
2018,7,1,15,45,0,4.75
2018,7,1,16,0,0,4.85
2018,7,1,16,15,0,4.94
2018,7,1,16,30,0,5.01
2018,7,1,16,45,0,5.08
2018,7,1,17,0,0,5.14
2018,7,1,17,15,0,5.21
2018,7,1,17,30,0,5.26
2018,7,1,17,45,0,5.31
2018,7,1,18,0,0,5.36
2018,7,1,18,15,0,5.4
2018,7,1,18,30,0,5.43
2018,7,1,18,45,0,5.46
2018,7,1,19,0,0,5.48
2018,7,1,19,15,0,5.49
2018,7,1,19,30,0,5.49
2018,7,1,19,45,0,5.48
2018,7,1,20,0,0,5.47
2018,7,1,20,15,0,5.44
2018,7,1,20,30,0,5.41
2018,7,1,20,45,0,5.36
2018,7,1,21,0,0,5.29
2018,7,1,21,15,0,5.23
2018,7,1,21,30,0,5.19
2018,7,1,21,45,0,5.17
2018,7,1,22,0,0,5.15
2018,7,1,22,15,0,5.12
2018,7,1,22,30,0,5.09
2018,7,1,22,45,0,5.06
2018,7,1,23,0,0,5.04
2018,7,1,23,15,0,5.02
2018,7,1,23,30,0,5.02
2018,7,1,23,45,0,5.03
2018,7,2,0,0,0,5.05
2018,7,2,0,15,0,5.08
2018,7,2,0,30,0,5.11
2018,7,2,0,45,0,5.15
2018,7,2,1,0,0,5.18
2018,7,2,1,15,0,5.22
2018,7,2,1,30,0,5.27
2018,7,2,1,45,0,5.31
2018,7,2,2,0,0,5.36
2018,7,2,2,15,0,5.41
2018,7,2,2,30,0,5.46
2018,7,2,2,45,0,5.5
2018,7,2,3,0,0,5.53
2018,7,2,3,15,0,5.57
2018,7,2,3,30,0,5.6
2018,7,2,3,45,0,5.65
2018,7,2,4,0,0,5.7
2018,7,2,4,15,0,5.75
2018,7,2,4,30,0,5.8
2018,7,2,4,45,0,5.83
2018,7,2,5,0,0,5.85
2018,7,2,5,15,0,5.84
2018,7,2,5,30,0,5.82
2018,7,2,5,45,0,5.77
2018,7,2,6,0,0,5.71
2018,7,2,6,15,0,5.62
2018,7,2,6,30,0,5.51
2018,7,2,6,45,0,5.46
2018,7,2,7,0,0,5.44
2018,7,2,7,15,0,5.4
2018,7,2,7,30,0,5.37
2018,7,2,7,45,0,5.33
2018,7,2,8,0,0,5.27
2018,7,2,8,15,0,5.22
2018,7,2,8,30,0,5.17
2018,7,2,8,45,0,5.13
2018,7,2,9,0,0,5.07
2018,7,2,9,15,0,5
2018,7,2,9,30,0,4.93
2018,7,2,9,45,0,4.78
2018,7,2,10,0,0,4.62
2018,7,2,10,15,0,4.48
2018,7,2,10,30,0,4.37
2018,7,2,10,45,0,4.3
2018,7,2,11,0,0,4.25
2018,7,2,11,15,0,4.21
2018,7,2,11,30,0,4.18
2018,7,2,11,45,0,4.18
2018,7,2,12,0,0,4.17
2018,7,2,12,15,0,4.17
2018,7,2,12,30,0,4.17
2018,7,2,12,45,0,4.17
2018,7,2,13,0,0,4.17
2018,7,2,13,15,0,4.17
2018,7,2,13,30,0,4.18
2018,7,2,13,45,0,4.18
2018,7,2,14,0,0,4.18
2018,7,2,14,15,0,4.19
2018,7,2,14,30,0,4.22
2018,7,2,14,45,0,4.28
2018,7,2,15,0,0,4.37
2018,7,2,15,15,0,4.48
2018,7,2,15,30,0,4.59
2018,7,2,15,45,0,4.69
2018,7,2,16,0,0,4.8
2018,7,2,16,15,0,4.9
2018,7,2,16,30,0,4.99
2018,7,2,16,45,0,5.06
2018,7,2,17,0,0,5.13
2018,7,2,17,15,0,5.19
2018,7,2,17,30,0,5.24
2018,7,2,17,45,0,5.3
2018,7,2,18,0,0,5.35
2018,7,2,18,15,0,5.4
2018,7,2,18,30,0,5.44
2018,7,2,18,45,0,5.48
2018,7,2,19,0,0,5.51
2018,7,2,19,15,0,5.54
2018,7,2,19,30,0,5.56
2018,7,2,19,45,0,5.58
2018,7,2,20,0,0,5.58
2018,7,2,20,15,0,5.58
2018,7,2,20,30,0,5.56
2018,7,2,20,45,0,5.53
2018,7,2,21,0,0,5.51
2018,7,2,21,15,0,5.46
2018,7,2,21,30,0,5.38
2018,7,2,21,45,0,5.31
2018,7,2,22,0,0,5.27
2018,7,2,22,15,0,5.25
2018,7,2,22,30,0,5.23
2018,7,2,22,45,0,5.2
2018,7,2,23,0,0,5.18
2018,7,2,23,15,0,5.16
2018,7,2,23,30,0,5.15
2018,7,2,23,45,0,5.14
2018,7,3,0,0,0,5.13
2018,7,3,0,15,0,5.13
2018,7,3,0,30,0,5.13
2018,7,3,0,45,0,5.14
2018,7,3,1,0,0,5.16
2018,7,3,1,15,0,5.19
2018,7,3,1,30,0,5.22
2018,7,3,1,45,0,5.25
2018,7,3,2,0,0,5.28
2018,7,3,2,15,0,5.32
2018,7,3,2,30,0,5.36
2018,7,3,2,45,0,5.4
2018,7,3,3,0,0,5.45
2018,7,3,3,15,0,5.5
2018,7,3,3,30,0,5.55
2018,7,3,3,45,0,5.59
2018,7,3,4,0,0,5.62
2018,7,3,4,15,0,5.66
2018,7,3,4,30,0,5.7
2018,7,3,4,45,0,5.74
2018,7,3,5,0,0,5.78
2018,7,3,5,15,0,5.81
2018,7,3,5,30,0,5.83
2018,7,3,5,45,0,5.84
2018,7,3,6,0,0,5.84
2018,7,3,6,15,0,5.82
2018,7,3,6,30,0,5.79
2018,7,3,6,45,0,5.75
2018,7,3,7,0,0,5.67
2018,7,3,7,15,0,5.58
2018,7,3,7,30,0,5.54
2018,7,3,7,45,0,5.51
2018,7,3,8,0,0,5.47
2018,7,3,8,15,0,5.43
2018,7,3,8,30,0,5.38
2018,7,3,8,45,0,5.33
2018,7,3,9,0,0,5.28
2018,7,3,9,15,0,5.23
2018,7,3,9,30,0,5.2
2018,7,3,9,45,0,5.15
2018,7,3,10,0,0,5.08
2018,7,3,10,15,0,5.02
2018,7,3,10,30,0,4.92
2018,7,3,10,45,0,4.77
2018,7,3,11,0,0,4.62
2018,7,3,11,15,0,4.51
2018,7,3,11,30,0,4.42
2018,7,3,11,45,0,4.35
2018,7,3,12,0,0,4.31
2018,7,3,12,15,0,4.28
2018,7,3,12,30,0,4.26
2018,7,3,12,45,0,4.25
2018,7,3,13,0,0,4.24
2018,7,3,13,15,0,4.24
2018,7,3,13,30,0,4.24
2018,7,3,13,45,0,4.25
2018,7,3,14,0,0,4.26
2018,7,3,14,15,0,4.28
2018,7,3,14,30,0,4.31
2018,7,3,14,45,0,4.35
2018,7,3,15,0,0,4.42
2018,7,3,15,15,0,4.52
2018,7,3,15,30,0,4.64
2018,7,3,15,45,0,4.78
2018,7,3,16,0,0,4.9
2018,7,3,16,15,0,4.99
2018,7,3,16,30,0,5.06
2018,7,3,16,45,0,5.13
2018,7,3,17,0,0,5.2
2018,7,3,17,15,0,5.25
2018,7,3,17,30,0,5.31
2018,7,3,17,45,0,5.36
2018,7,3,18,0,0,5.42
2018,7,3,18,15,0,5.47
2018,7,3,18,30,0,5.53
2018,7,3,18,45,0,5.58
2018,7,3,19,0,0,5.63
2018,7,3,19,15,0,5.68
2018,7,3,19,30,0,5.72
2018,7,3,19,45,0,5.75
2018,7,3,20,0,0,5.77
2018,7,3,20,15,0,5.78
2018,7,3,20,30,0,5.79
2018,7,3,20,45,0,5.78
2018,7,3,21,0,0,5.76
2018,7,3,21,15,0,5.73
2018,7,3,21,30,0,5.69
2018,7,3,21,45,0,5.58
2018,7,3,22,0,0,5.45
2018,7,3,22,15,0,5.41
2018,7,3,22,30,0,5.39
2018,7,3,22,45,0,5.38
2018,7,3,23,0,0,5.36
2018,7,3,23,15,0,5.34
2018,7,3,23,30,0,5.31
2018,7,3,23,45,0,5.28
2018,7,4,0,0,0,5.26
2018,7,4,0,15,0,5.25
2018,7,4,0,30,0,5.24
2018,7,4,0,45,0,5.23
2018,7,4,1,0,0,5.22
2018,7,4,1,15,0,5.21
2018,7,4,1,30,0,5.21
2018,7,4,1,45,0,5.21
2018,7,4,2,0,0,5.22
2018,7,4,2,15,0,5.24
2018,7,4,2,30,0,5.26
2018,7,4,2,45,0,5.29
2018,7,4,3,0,0,5.32
2018,7,4,3,15,0,5.35
2018,7,4,3,30,0,5.38
2018,7,4,3,45,0,5.41
2018,7,4,4,0,0,5.45
2018,7,4,4,15,0,5.48
2018,7,4,4,30,0,5.52
2018,7,4,4,45,0,5.57
2018,7,4,5,0,0,5.62
2018,7,4,5,15,0,5.67
2018,7,4,5,30,0,5.71
2018,7,4,5,45,0,5.74
2018,7,4,6,0,0,5.77
2018,7,4,6,15,0,5.79
2018,7,4,6,30,0,5.8
2018,7,4,6,45,0,5.8
2018,7,4,7,0,0,5.79
2018,7,4,7,15,0,5.77
2018,7,4,7,30,0,5.74
2018,7,4,7,45,0,5.7
2018,7,4,8,0,0,5.63
2018,7,4,8,15,0,5.56
2018,7,4,8,30,0,5.52
2018,7,4,8,45,0,5.48
2018,7,4,9,0,0,5.45
2018,7,4,9,15,0,5.4
2018,7,4,9,30,0,5.36
2018,7,4,9,45,0,5.31
2018,7,4,10,0,0,5.28
2018,7,4,10,15,0,5.24
2018,7,4,10,30,0,5.18
2018,7,4,10,45,0,5.12
2018,7,4,11,0,0,5.05
2018,7,4,11,15,0,4.97
2018,7,4,11,30,0,4.88
2018,7,4,11,45,0,4.79
2018,7,4,12,0,0,4.68
2018,7,4,12,15,0,4.57
2018,7,4,12,30,0,4.48
2018,7,4,12,45,0,4.4
2018,7,4,13,0,0,4.34
2018,7,4,13,15,0,4.3
2018,7,4,13,30,0,4.27
2018,7,4,13,45,0,4.25
2018,7,4,14,0,0,4.25
2018,7,4,14,15,0,4.25
2018,7,4,14,30,0,4.28
2018,7,4,14,45,0,4.31
2018,7,4,15,0,0,4.36
2018,7,4,15,15,0,4.43
2018,7,4,15,30,0,4.53
2018,7,4,15,45,0,4.62
2018,7,4,16,0,0,4.72
2018,7,4,16,15,0,4.83
2018,7,4,16,30,0,4.94
2018,7,4,16,45,0,5.03
2018,7,4,17,0,0,5.1
2018,7,4,17,15,0,5.17
2018,7,4,17,30,0,5.23
2018,7,4,17,45,0,5.28
2018,7,4,18,0,0,5.33
2018,7,4,18,15,0,5.38
2018,7,4,18,30,0,5.43
2018,7,4,18,45,0,5.48
2018,7,4,19,0,0,5.53
2018,7,4,19,15,0,5.58
2018,7,4,19,30,0,5.63
2018,7,4,19,45,0,5.67
2018,7,4,20,0,0,5.7
2018,7,4,20,15,0,5.73
2018,7,4,20,30,0,5.75
2018,7,4,20,45,0,5.76
2018,7,4,21,0,0,5.76
2018,7,4,21,15,0,5.76
2018,7,4,21,30,0,5.75
2018,7,4,21,45,0,5.72
2018,7,4,22,0,0,5.7
2018,7,4,22,15,0,5.58
2018,7,4,22,30,0,5.44
2018,7,4,22,45,0,5.4
