Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Chromista,Ochrophyta,Coscinodiscophyceae,Acanthoceras,Acanthoceras sp.,Centric Diatom,Honigmann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes brevipes,Pennate Diatom,Agardh,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,brackish to marine
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes cf. crenulata,Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes delicatula,Pennate Diatom,Kützing,www.algaebase.org,Planothidium delicatulum, (Kützing) Round & L. Bukhtiyarova,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,brackish to marine
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes exigua,Pennate Diatom,Grunow,www.algaebase.org,Lemnicola exigua,"(Grunow) Kulikovskiy, Witkowski and Plinski",www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes gibberula,Pennate Diatom,Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes lanceolata,Pennate Diatom,(Brébisson ex Kützing) Grunow,www.algaebase.org,Planothidium lanceolatum,(Brébisson ex Kützing) Lange-Bertalot,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes linearis,Pennate Diatom,(W. Smith) Grunow,www.algaebase.org,Achnanthidium lineare,W. Smith,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes minutissima,Pennate Diatom,Kützing,www.algaebase.org,Achnanthidium minutissimum,(Kützing) Czarnecki,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes sp.,Pennate Diatom,Bory de St.-Vincent,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Achnanthes,Achnanthes temperei,Pennate Diatom,M. Peragallo,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium exiguum,Pennate Diatom,(Grunow) D.B. Czarnecki,www.algaebase.org,Lemnicola exigua,"(Grunow) Kulikovskiy, Witkowski and Plinski",www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Achnanthidium,Achnanthidium gracillimum,Pennate Diatom,(F. Meister) Lange-Bertalot,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium minutissimum,Pennate Diatom,(Kutzing) Czarnecki,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Achnanthidium,Achnanthidium sp.,Pennate Diatom,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum gracillimum,Green Alga,Smith,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum hantzschii,Green Alga,Lagerheim,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Actinastrum,Actinastrum sp.,Green Alga,Lagerheim,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Actinella,Actinella sp.,Pennate Diatom,Lewis,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus cf. normanii,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus normanii,Centric Diatom,(W. Gregory ex Greville) Hustedt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus sp.,Centric Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinoptychus,Actinoptychus senarius,Centric Diatom,(Ehrenberg) Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Actinoptychus,Actinoptychus sp.,Centric Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Adlafia,Adlafia sp.,Pennate Diatom,"Gerd Moser, Lange-Bertalot, and Metzeltin",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Adlafia,Adlafia suchlandtii,Pennate Diatom,(Hustedt) Monnier & Ector,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum elegans,Cyanobacterium,Brébisson,www.itis.gov,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum sp.,Cyanobacterium,Brébisson,www.algaebase.org,Merismopedia sp.,F.J.F. Meyen,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Agmenellum,Agmenellum tenuissima,Cyanobacterium,Unknown,Unknown,Unknown,Unknown,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Protozoa,Dinozoa,Dinophyceae,Akashiwo,Akashiwo sanguinea,Dinoflagellate,(K. Hirasaka) G. Hansen and Ø. Moestrup,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium catenella,Dinoflagellate,(Whedon and Kofoid) Balech,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium sp.,Dinoflagellate,Halim,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium sp.2,Dinoflagellate,Halim,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Protozoa,Dinozoa,Dinophyceae,Alexandrium,Alexandrium tamarense,Dinoflagellate,(LeBour) E. Balech,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Amphicampa,Amphicampa mirabilis,Pennate Diatom,Ehrenberg ex Ralfs,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphicampa,Amphicampa sp.,Pennate Diatom,(Ehrenberg) Ralfs in Pritchard,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Protozoa,Dinozoa,Dinophyceae,Amphidinium,Amphidinium sp.,Dinoflagellate,Claparède et Lachmann,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphipleura,Amphipleura pellucida,Pennate Diatom,(Kützing) Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphipleura,Amphipleura sp.,Pennate Diatom,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora ornata,Pennate Diatom,Bailey,www.algaebase.org,Entomoneis ornata,(Bailey) Reimer,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora paludosa,Pennate Diatom,Smith,www.algaebase.org,Entomoneis paludosa,(W. Smith) Reimer,www.algaebase.org,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Amphiprora,Amphiprora sp.,Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora cf. libyca,Pennate Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,solitary,benthic,brackish
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora delicatissima,Pennate Diatom,Krasske,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora holsatica,Pennate Diatom,Hustedt,www.algaebase.org,Halamphora holsatica,(Hustedt) Levkov,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,brackish
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora libyca,Pennate Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,brackish
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora normanii,Pennate Diatom,Rabenhorst emend Carter and Round,www.algaebase.org,Halamphora normanii,(Rabenhorst) Lekov,www.algaebase.org,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora ovalis,Pennate Diatom,(Kützing) Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora pediculus,Pennate Diatom,(Kützing) Grunow,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Amphora,Amphora sp.,Pennate Diatom,Ehrenberg ex Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena affinis,Cyanobacterium,Lemmerman,www.algaebase.org,Dolichospermum affine,"(Lemmermann) P. Wacklin, L. Hoffmann and J. Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena circinalis,Cyanobacterium,Rabenhorst,www.algaebase.org,Dolichospermum circinale,"(Rabenhorst ex Bornet & Flahault) P. Wacklin, L. Hoffmann and J. Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena sp.,Cyanobacterium,Bory ex Bornet et Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Anabaena,Anabaena spiroides,Cyanobacterium,Klebahn,www.algaebase.org,Dolichospermum spiroides,"(Klebhan) Wacklin, L. Hoffm. and Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaenopsis,Anabaenopsis elenkinii,Cyanobacterium,V.V. Miller,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anabaenopsis,Anabaenopsis sp.,Cyanobacterium,(Woloszynska) Müller,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis cyanea,Cyanobacterium,(Kützing) F.E. Drouet and W.A. Daily,www.algaebase.org,Microcystis aeruginosa,(Kützing) Kützing,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis incerta,Cyanobacterium,(Lemmermann) Drouet and Daily,www.algaebase.org,Aphanocapsa incerta,(Lemmermann) Cronberg and Komárek,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis limnetica,Cyanobacterium,(Lemmermann) Drouet and Daily,www.algaebase.org,Limnococcus limneticus,"(Lemmermann) Komárková, Jezberová, O. Komárek and Zapom?lová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis nidulans,Cyanobacterium,Gardner,www.algaebase.org,Aphanothece nidulans,P. Richter,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Anacystis,Anacystis sp.,Cyanobacterium,Meneghini,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus arcuatus,Green Alga,Korshikov,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus braunii,Green Alga,(Nägeli) Collins,www.algaebase.org,Chlorolobion braunii,(Nägeli) Komárek,www.algaebase.org,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus convolutus,Green Alga,Corda,www.algaebase.org,Monoraphidium convolutum,(Corda) Komárková-Legnerová,www.algaebase.org,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater
