Kingdom,Phylum,Class,AlgalGroup,Genus,Taxon,Authority,Authority Source,CurrentTaxon,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Agmenellum,Agmenellum elegans,Brébisson,www.itis.gov,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Agmenellum,Agmenellum sp.,Brébisson,www.algaebase.org,Merismopedia sp.,F.J.F. Meyen,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Agmenellum,Agmenellum tenuissima,Unknown,Unknown,Unknown,Unknown,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,Anabaena affinis,Lemmerman,www.algaebase.org,Dolichospermum affine,"(Lemmermann) P. Wacklin, L. Hoffmann and J. Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,Anabaena circinalis,Rabenhorst,www.algaebase.org,Dolichospermum circinale,"(Rabenhorst ex Bornet & Flahault) P. Wacklin, L. Hoffmann and J. Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,Anabaena sp.,Bory ex Bornet et Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaena,Anabaena spiroides,Klebahn,www.algaebase.org,Dolichospermum spiroides,"(Klebhan) Wacklin, L. Hoffm. and Komárek",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaenopsis,Anabaenopsis elenkinii,V.V. Miller,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anabaenopsis,Anabaenopsis sp.,(Woloszynska) Müller,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,Anacystis cyanea,(Kützing) F.E. Drouet and W.A. Daily,www.algaebase.org,Microcystis aeruginosa,(Kützing) Kützing,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,Anacystis incerta,(Lemmermann) Drouet and Daily,www.algaebase.org,Aphanocapsa incerta,(Lemmermann) Cronberg and Komárek,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,Anacystis limnetica,(Lemmermann) Drouet and Daily,www.algaebase.org,Limnococcus limneticus,"(Lemmermann) Komárková, Jezberová, O. Komárek and Zapomĕlová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,Anacystis nidulans,Gardner,www.algaebase.org,Aphanothece nidulans,P. Richter,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Anacystis,Anacystis sp.,Meneghini,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,Aphanizomenon flos-aquae,Ralfs ex Bornet and Flahaut,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,Aphanizomenon klebahnii,Elenkin ex Pechar,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,Aphanizomenon sp.,Morren ex Bornet et Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanizomenon,Aphanizomenon yezoense,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,Aphanocapsa delicatissima,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanocapsa,Aphanocapsa sp.,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanothece,Aphanothece endophytica,(West and G.S. West) J. Komárková-Legnerová and G. Cronberg,www.algaebase.org,Anathece endophytica,"(W. and G.S. West) Komárek, Kastovsky and Jezberová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Aphanothece,Aphanothece sp.,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Calothrix,Calothrix braunii,Bornet and Flahault,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus dispersus,(Keissler) Lemmermann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus distans,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus limneticus,Lemmermann,www.algaebase.org,Limnococcus limneticus,"(Lemmermann) Komárková, Jezberová, O. Komárek, and Zapomĕlová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus microscopicus,J. Komárkova-Legnerová and G. Cronberg,www.algaebase.org,Eucapsis microscopica,(Komárková-Legenerová and G. Cronberg) Komárek and Hindák,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus minimus,(Keissler) Lemmermann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus minutus,(Kützing) Nägeli,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus planctonicus,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Chroococcus,Chroococcus sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coccochloris,Coccochloris sp.,Sprengel,www.algaebase.org,Aphanothece sp.,C. Nägeli,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Coelosphaerium,Coelosphaerium sp.,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cuspidothrix,Cuspidothrix sp.,Rajaniemi et. al.,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanarcus,Cyanarcus hamiformis,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanodictyon,Cyanodictyon sp.,Pascher,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cyanophanon,Cyanophanon sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,solitary or colonial,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermopsis,Cylindrospermopsis acuminatocrispa,Couté and M. Bouvy,www.algaebase.org,Raphidiopsis acuminatocrispa,"(Couvy and Bouvy) Aguilera, Berrendero Gómez, Kastovsky, Echeniqe and Salerno",www.algaebase.org,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermopsis,Cylindrospermopsis sp.,Unknown,Unknown,Raphidiopsis sp.,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Cylindrospermum,Cylindrospermum sp.,Kützing ex Bornet et. Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dactylococcopsis,Dactylococcopsis sp.,Hansgirg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,Dolichospermum planctonicum,"(Brunnthaler) Wacklin, L. Hoffman and Komárek",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,Dolichospermum smithii,"(Komárek) Wacklin, L. Hoffman and Komárek",www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Dolichospermum,Dolichospermum sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,Eucapsis microscopica,(Komárková-Legnerová and G. Cronberg) Komárek and Hindák,www.algaebase.org,None,Komárková-Legnerová and G. Cronberg,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Eucapsis,Eucapsis sp.,Clements et Shantz,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,Geitlerinema amphibium,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,Geitlerinema sp.,(Anagnostidis et Komárek) Anagnostidis,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Geitlerinema,Geitlerinema splendidum,(Greville ex Gomont) Anagnostidis,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Glaucospira,Glaucospira sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeocapsa,Gloeocapsa sp.,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeothece,Gloeothece linearis,Nägeli,www.algaebase.org,Gloeobacter violaceus,"Rippka, J.B. Waterbury and Cohen-Bazire",www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeothece,Gloeothece sp.,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gloeotrichia,Gloeotrichia echinulata,(Smith) P. Richter,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater to brackish
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gomphosphaeria,Gomphosphaeria aponina,Kützing,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary or colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gomphosphaeria,Gomphosphaeria pallidum,Unknown,N/A,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Gomphosphaeria,Gomphosphaeria sp.,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Hapalosiphon,Hapalosiphon hibernicus,W. West and G.S. West,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Heteroleibleinia,Heteroleibleinia sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Homoeothrix,Homoeothrix janthina,(Bornet and Flahault) Starmach,www.algaebase.org,Tapinothrix janthina,(Bornet and Flahault) Bohunická and J.R. Johansen,www.algaebase.org,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Komvophoron,Komvophoron sp.,Unknown,Unknown,None,Unknown,Unknown,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Leptolyngbya,Leptolyngbya foveolara,(Gomont) Anagnostidis and Komárek,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Leptolyngbya,Leptolyngbya sp.,Anagnostidis et Komárek,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Limnothrix,Limnothrix redekei,(van Goor) M.E. Meffert,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Limnothrix,Limnothrix sp.,Meffert,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic or benthic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Lyngbya,Lyngbya sp.,Agardh ex Gomont,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Marssoniella,Marssoniella elegans,Lemmerman,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,Marssoniella,Marssoniella sp.,Lemmerman,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
