accepted.name,input.name,input.match,currently.accepted,genus.only,kingdom,phylum,class,order,family,genus,species,infrasp,long.name,taxonomic.status,taxon.rank,mod.date,authorship
Mayamaea,Mayamaea,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculales incertae sedis,Mayamaea,NA,NA,"Mayamaea Lange-Bertalot, 1997",currently accepted taxonomically,genus,2023-03-03,Lange-Bertalot
Stauroforma,Stauroforma,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Staurosiraceae,Stauroforma,NA,NA,"Stauroforma R.J.Flower, V.J.Jones & Round, 1996",currently accepted taxonomically,genus,2018-01-31,"R.J.Flower, V.J.Jones & Round"
Fragilariforma,Fragilariforma,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilariforma,NA,NA,"Fragilariforma D.M.Williams & Round, 1988",currently accepted taxonomically,genus,2014-03-08,D.M.Williams & Round
Achnanthes capensis Kützing,Achnanthes brevipes,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,brevipes,capensis,Achnanthes brevipes var. capensis (Kützing) Grunow,homotypic or heterotypic synonym,variety,2023-05-16,(Kützing) Grunow
Achnanthes capensis Kützing,Achnanthes brevipes,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,brevipes,capensis,Achnanthes brevipes var. capensis Cleve,homotypic or heterotypic synonym,variety,2023-05-16,Cleve
Planothidium hauckianum var. rostratum,Achnanthes delicatula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,delicatula,rostrata,Achnanthes delicatula var. rostrata (P.Schulz ex Hustedt) A.Cleve,homotypic or heterotypic synonym,variety,2023-02-01,(P.Schulz ex Hustedt) A.Cleve
Achnanthes exigua var. baikalensis,Achnanthes exigua,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,exigua,baikalensis,Achnanthes exigua var. baikalensis Skvortsov,currently accepted taxonomically,variety,2023-05-31,Skvortsov
Crenotia thermalis,Achnanthes gibberula,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,gibberula,angustior,Achnanthes gibberula var. angustior Grunow,homotypic or heterotypic synonym,variety,2022-02-23,Grunow
Achnanthes lanceolata var. faeroensis,Achnanthes lanceolata,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,lanceolata,faeroensis,Achnanthes lanceolata var. faeroensis Østrup,currently accepted taxonomically,variety,2023-04-04,Østrup
Achnanthes lanceolata subsp. polymorpha,Achnanthes lanceolata,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,lanceolata,polymorpha,Achnanthes lanceolata subsp. polymorpha Skabichevskij,currently accepted taxonomically,subspecies,2023-04-04,Skabichevskij
NA,Achnanthes linearis,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,linearis,pusilla,Achnanthes linearis var. pusilla Grunow,uncertain taxonomic status subjected to verification,variety,2023-01-23,Grunow
Lemnicola hungarica var. pusilla,Achnanthes linearis,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,linearis,pusilla,Achnanthes linearis var. pusilla (Grunow) Cleve,homotypic or heterotypic synonym,variety,2023-01-23,(Grunow) Cleve
Achnanthidium saprophilum,Achnanthes minutissima,0,0,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,minutissima,saprophila,Achnanthes minutissima var. saprophila H.Kobayasi & Mayama,homotypic or heterotypic synonym,variety,2022-10-13,H.Kobayasi & Mayama
Achnanthes,Achnanthes,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,NA,NA,"Achnanthes Bory, 1822",currently accepted taxonomically,genus,2017-08-14,Bory
Achnanthes temperei,Achnanthes temperei,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,temperei,NA,Achnanthes temperei M.Peragallo,currently accepted taxonomically,species,2011-07-20,M.Peragallo
Achnanthidium exiguum var. heterovalvata,Achnanthidium exiguum,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,exiguum,heterovalvata,Achnanthidium exiguum var. heterovalvata (Krasske) Czarnecki,currently accepted taxonomically,variety,2022-04-03,(Krasske) Czarnecki
Achnanthidium minutissimum,Achnanthidium minutissimum,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,minutissimum,NA,Achnanthidium minutissimum (Kützing) Czarnecki,currently accepted taxonomically,species,2023-01-19,(Kützing) Czarnecki
Achnanthidium,Achnanthidium,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,NA,NA,"Achnanthidium Kützing, 1844",currently accepted taxonomically,genus,2022-09-22,Kützing
Actinella,Actinella,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Actinella,NA,NA,"Actinella F.W.Lewis, 1864, nom. cons.",currently accepted taxonomically,genus,2017-08-14,F.W.Lewis
Adlafia,Adlafia,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Cymbellales,Anomoeoneidaceae,Adlafia,NA,NA,"Adlafia Gerd Moser, Lange-Bertalot & Metzeltin, 1998",currently accepted taxonomically,genus,2023-02-05,"Gerd Moser, Lange-Bertalot & Metzeltin"
Amphicampa mirabilis var. transylvanica,Amphicampa mirabilis,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa,mirabilis,transylvanica,Amphicampa mirabilis var. transylvanica (Pantocsek) M.A.Harper,currently accepted taxonomically,variety,2022-04-29,(Pantocsek) M.A.Harper
Amphicampa,Amphicampa,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Eunotiales,Eunotiaceae,Amphicampa,NA,NA,"Amphicampa (Ehrenberg) Ralfs, 1861",currently accepted taxonomically,genus,2022-05-19,(Ehrenberg) Ralfs
Amphipleura pellucida,Amphipleura pellucida,1,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,pellucida,NA,Amphipleura pellucida (Kützing) Kützing,currently accepted taxonomically,species,2023-06-02,(Kützing) Kützing
Amphipleura,Amphipleura,1,1,1,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphipleura,NA,NA,"Amphipleura Kützing, 1844",currently accepted taxonomically,genus,2015-04-05,Kützing
Amphiprora ornata var. rectangulata,Amphiprora ornata,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,ornata,rectangulata,Amphiprora ornata var. rectangulata (A.Cleve) A.Cleve,currently accepted taxonomically,variety,2022-06-13,(A.Cleve) A.Cleve
Amphiprora paludosa var. dilatata,Amphiprora paludosa,0,1,0,Chromista,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,Amphiprora,paludosa,dilatata,Amphiprora paludosa var. dilatata (Pantocsek) Cleve,currently accepted taxonomically,variety,2023-05-01,(Pantocsek) Cleve
Pseudoamphiprora,Amphiprora,0,1,1,Chromista,Bacillariophyta,Bacillariophyta classis incertae sedis,Bacillariophyta ordo incertae sedis,Bacillariophyta familia incertae sedis,Pseudoamphiprora,NA,NA,"Pseudoamphiprora (Cleve) Cleve, 1894",currently accepted taxonomically,genus,2019-10-25,(Cleve) Cleve
NA,Amphora delicatissima,0,0,0,Chromista,Miozoa,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Amphora,delicatissima,dalaica,Amphora delicatissima var. dalaica Skvortzov,uncertain taxonomic status subjected to verification,variety,2021-09-16,Skvortzov
