kingdom,phylum,class,algal_group,current_name,taxon_original,genus,species,notes
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Bacillaria cf. paxillifera,Bacillaria,paxillifera,"For this and many other taxa, EMP has outdated Phylum Ochrophyta"
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,cf. Cymbella sp.,Cymbella,sp.,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,cf. Humidophila contenta,cf. Diadesmis sp.,Diadesmis,contenta,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,cf. Diploneis sp.,Diploneis,sp.,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Encyonema cf. lange-bertalotii,Encyonema,lange-bertalotii,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Gomphonema affinopsis,Gomphonema,affinopsis,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Navicula goersii,Navicula,goersii,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Navicula cf. oppugnata,Navicula,oppugnata,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Navicula subrostellata,Navicula,subrostellata,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,cf. Neidium sp.,Neidium,sp.,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Nitzschia alpina,Nitzschia,alpina,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Nitzschia cf. soratensis,Nitzschia,soratensis,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,Pinnularia cf. moelderi ,Pinnularia cf. hustedtii,Pinnularia,hustedtii,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Planothidium incuriatum,Planothidium,incuriatum,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,cf. Stauroneis sp.,Stauroneis,sp.,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Tryblionella cf. compressa,Tryblionella,compressa,
Chromista,Bacillariophyta,Bacillariophyceae,Pennate Diatoms,None,Tryblionella cf. victoriae,Tryblionella,victoriae,
Chromista,Bacillariophyta,Mediophyceae,Centric Diatoms,None,Chaetoceros muelleri,Chaetoceros,muelleri,
Chromista,Bacillariophyta,Mediophyceae,Centric Diatoms,None,Cyclotella cf. atomus,Cyclotella,atomus,
Chromista,Bacillariophyta,Mediophyceae,Centric Diatoms,Lindavia cf. bodanica,Cyclotella cf. bodanica,Cyclotella,bodanica,
Chromista,Bacillariophyta,Mediophyceae,Centric Diatoms,None,cf. Lindavia sp.,Lindavia,sp.,
Chromista,Bacillariophyta,Mediophyceae,Centric Diatoms,None,Lindavia sp.,Lindavia,sp.,
Chromista,Bacillariophyta,Mediophyceae,Centric Diatoms,None,Skeletonema ardens,Skeletonema,ardens,
Chromista,Cryptista,Cryptophyceae,Cryptophytes,None,Teleaulax amphioxeia,Teleaulax,amphioxeia,
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,None,Komvophoron sp.,Komvophoron,sp.,"Kingdom should be ""Eubacteria"" but changed to match EMP"
Plantae,Chlorophyta,Chlorophyceae,Green Algae,None,cf. Chlorella sp.,Chlorella,sp.,also in AWCA supplemental taxa data set
Plantae,Chlorophyta,Chlorophyceae,Green Algae,None,Dictyochloris fragrans,Dictyochloris,fragrans,
Plantae,Chlorophyta,Chlorophyceae,Green Algae,None,cf. Raphidocelis sp.,Raphidocelis,sp.,
Plantae,Chlorophyta,Chlorophyceae,Green Algae,None,cf. Vitreochalmys sp.,Vitreochlamys,sp.,this was not in algaebase
Plantae,Chlorophyta,Nephroselmidophyceae,Green Algae,None,cf. Nephroselmis sp.,Nephroselmis,sp.,"EMP has class as ""Chlorophyceae"""
Plantae,Chlorophyta,Trebouxiophyceae,Green Algae,None,cf. Nannochloris sp.,Nannochloris,sp.,
Plantae,Chlorophyta,Ulvophyceae,Green Algae,None,cf. Ulothrix sp.,Ulothrix,sp.,
Protozoa,Euglenozoa,Euglenophyceae,Euglenoids,Lepocinclis acus ,Euglena acus,Euglena,acus,
Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,,Chaetoceros subtilis,Chaetoceros,subtilis,pull high taxonomy from emp
Plantae,Chlorophyta,Chlorophyceae,Green Algae,,Chlamydomonas spp.,Chlamydomonas,spp.,"pull high taxonomy from emp, would have matched EMP if ""sp"" instead of ""spp"""
Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,,Cyclotella spp.,Cyclotella,spp.,"pull high taxonomy from emp, would have matched EMP if ""sp"" instead of ""spp"""
Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,,Merismopedia tranquilla,Merismopedia,tranquilla,pull high taxonomy from emp
Plantae,Chlorophyta,Chlorophyceae,Green Algae,,Monoraphidium spp.,Monoraphidium,spp.,"pull high taxonomy from emp, would have matched EMP if ""sp"" instead of ""spp"""
Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,,Nitzschia spp.,Nitzschia,spp.,"pull high taxonomy from emp, would have matched EMP if ""sp"" instead of ""spp"""
,,,,,Pedinomonas sp.,Pedinomonas,sp.,not in emp
Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,,Plagioselmis cf. lacustris,Plagioselmis,lacustris,pull high taxonomy from emp
Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,,Rhodomonas sp,Rhodomonas,sp.,"would match EMP if ""sp."" instead of ""sp"""
,,,,,cf. Geminella sp.,Geminella,sp.,not in emp
Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,,cf. Reimeria sp.,Reimeria,sp.,
