Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimate,Volume,ACARTELA,ACARTIA,DIAPTOM,EURYTEM,OTHCALAD,PDIAPFOR,PDIAPMAR,SINOCAL,TORTANUS,ALLCALADULTS,ACANTHO,LIMNOSPP,LIMNOSINE,LIMNOTET,OITHDAV,OITHSIM,OITHSPP,OTHCYCAD,ALLCYCADULTS,HARPACT,EURYJUV,OTHCALJUV,PDIAPJUV,SINOCALJUV,ASINEJUV,ACARJUV,DIAPTJUV,TORTJUV,ALLCALJUV,LIMNOJUV,OITHJUV,OTHCYCJUV,ALLCYCJUV,EURYNAUP,OTHCOPNAUP,PDIAPNAUP,SINONAUP,ALLCOPNAUP,BOSMINA,DAPHNIA,DIAPHAN,OTHCLADO,ALLCLADOCERA,ASPLANCH,KERATELA,OTHROT,POLYARTH,SYNCH,TRICHO,ALLROTIFERS,BARNNAUP,CRABZOEA,OSTRACOD,CUMAC
STN,2018,3,7,2018-07-09,704,07:16:00,10,Lower Sacramento River,2,9.4,370,0.16,599,0.27,21.4,21,32,24.5,1,14034,N,4.3,2162.2,0,0,0,0,1779.4,0,16.3,0,3957.9,0,0,0,36.6,0,0,0,4.1,40.7,12.2,0,0,386.8,0,8.1,0,12.2,0,407.2,0,0,20.4,20.4,0,12.2,8.1,0,20.4,4.1,8.1,48.9,8.1,69.2,0,0,0,0,0,0,0,0,0,8.1,8.1
STN,2018,3,7,2018-07-09,706,08:13:00,10,Lower Sacramento River,2,9.8,139,0.06,152,0.06,22,21.4,71,11.5,1,15897,N,4.8,169.2,0,3.9,0,0,1050.9,0,19.7,0,1243.7,3.9,0,0,0,0,0,0,7.9,11.8,7.9,0,0,2440.3,0,0,0,3.9,0,2444.2,0,0,23.6,23.6,0,0,165.3,0,165.3,27.6,15.7,47.2,70.8,161.4,0,0,0,0,0,0,0,0,0,3.9,0
STN,2018,3,7,2018-07-09,707,09:07:00,10,Lower Sacramento River,2,9.8,130,0.05,144,0.06,22.1,22,110,6.9,1,14481,N,4.4,13,0,0,0,0,1214.1,0,38.9,0,1266,0,0,0,0,0,0,0,4.3,4.3,0,4.3,0,2873.3,0,0,0,0,0,2877.6,0,0,25.9,25.9,0,0,224.7,0,224.7,17.3,0,4.3,47.5,69.1,0,0,0,0,0,0,0,0,0,21.6,0
EMP,2018,7,7,2018-07-10,NZ054,13:34:00,10,SuiBay,1,11.7,7254,3.97,NA,NA,22.2,NA,44,NA,NA,25455,N,6.9,119.7,0,0,0,0,262,0,3.2,16.2,401.1,0,0,0,553.1,3.2,0,0,9.7,566,3.2,0,0,74.4,0,443.1,0,0,12.9,530.4,3.2,0,0,3.2,19.4,6.5,0,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN,2018,3,7,2018-07-11,501,10:57:00,10,Suisun Bay,4,7,11438,6.49,12491,7.14,21.5,21.5,57,25.4,1,15287,N,4.6,466.6,0,0,0,0,40.9,0,0,32.7,540.3,0,0,0,4.1,4.1,0,0,4.1,12.3,12.3,0,0,16.4,0,1682.2,0,0,77.8,1776.3,0,4.1,0,4.1,0,77.8,0,0,77.8,0,0,4.1,0,4.1,0,0,0,0,0,0,0,28.7,8.2,4.1,8.2
STN,2018,3,7,2018-07-11,504,11:57:00,10,Suisun Bay,4,6.4,7397,4.06,8921,4.96,21.9,21.8,63,17.4,1,15706,N,4.8,123.7,0,0,0,0,52.4,0,0,6.3,182.4,0,0,0,4.2,2.1,0,0,0,6.3,4.2,0,0,31.5,0,232.7,0,0,18.9,283.1,0,0,0,0,0,14.7,8.4,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,21,10.5,0,2.1
STN,2018,3,7,2018-07-11,508,12:49:00,10,Suisun Bay,4,11.3,4501,2.38,4601,2.43,22,22,67,14.6,1,15834,N,4.8,392,0,0,0,0,603.1,0,0,0,995.2,0,0,0,18.8,3.8,0,0,3.8,26.4,11.3,0,0,177.2,0,878.3,0,0,3.8,1059.3,7.5,0,0,7.5,0,18.8,18.8,0,37.7,0,0,0,3.8,3.8,0,0,0,0,0,0,0,15.1,7.5,7.5,7.5
STN,2018,3,7,2018-07-11,513,08:09:00,10,Confluence,2,13.4,4117,2.16,4918,2.62,21.3,20.9,64,19.6,2,11651,N,3.5,359.8,0,0,0,0,655.2,0,0,0,1015,0,0,0,21.5,0,0,0,0,21.5,5.4,0,0,139.6,0,370.5,0,0,0,510.2,0,0,16.1,16.1,0,5.4,26.9,0,32.2,0,0,0,0,0,0,0,0,0,0,0,0,5.4,5.4,0,0
STN,2018,3,7,2018-07-11,519,09:16:00,10,Suisun Bay (Honker),2,2.1,12085,6.89,11465,6.51,20.2,20,38,32,1,11285,N,3.4,283.1,0,0,0,0,52.5,0,0,46.7,382.3,0,0,0,2.9,8.8,0,0,0,11.7,0,0,0,17.5,0,790.8,0,0,61.3,869.6,0,0,0,0,0,20.4,0,0,20.4,0,0,0,0,0,0,0,0,0,0,0,0,40.9,2.9,2.9,0
STN,2018,3,7,2018-07-11,520,14:00:00,10,Confluence,4,12.8,3110,1.6,3201,1.65,22.5,23.1,55,16.3,2,15703,N,4.8,374.5,0,0,0,0,1091.8,0,0,0,1466.3,0,0,0,0,0,0,0,0,0,4,0,0,557.8,0,374.5,0,0,0,932.4,0,0,4,4,0,0,35.9,0,35.9,0,0,4,4,8,0,0,0,0,0,0,0,31.9,12,4,0
