station,collected_by,date,time_pst,kingdom,phylum,class,genus,taxon,phyto_form,organisms_per_ml,cells_per_ml,biovolume_per_ml
EMP_NZ060,EMP,2020-07-14,11:15:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,1331.5,1694.6,155824.4
EMP_NZ060,EMP,2020-07-14,11:15:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,48902,97804,17604.7
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,42.6,42.6,9158.6
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula cf. erifuga,i,42.6,42.6,41030.4
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia angustata,i,42.6,42.6,17296.2
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,f,42.6,2086.9,131123.5
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,c,2512.8,2981.3,142245.6
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,14437.9,28875.8,5197.7
EMP_NZEZ6,EMP,2020-07-14,11:15:00,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaena,Pseudanabaena sp.,f,255.5,1405.5,10729.4
EMP_NZ064,EMP,2020-07-14,13:05:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,613.3,613.3,1780678.8
EMP_NZ064,EMP,2020-07-14,13:05:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia exilis,i,153.3,153.3,7942.1
EMP_NZ064,EMP,2020-07-14,13:05:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,613.3,613.3,22131.8
EMP_NZ064,EMP,2020-07-14,13:05:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,61482.6,122965.1,22133.7
STN_801,STN,2020-07-15,10:25:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,146,146,7339.9
STN_801,STN,2020-07-15,10:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,f,146,6571,437639.1
STN_801,STN,2020-07-15,10:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,c,13434,16354.5,680831.9
STN_801,STN,2020-07-15,10:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,43660.6,87321.1,15717.8
STN_801,STN,2020-07-15,10:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaena,Pseudanabaena sp.,f,1022.2,8469.3,85142.4
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,484.2,484.2,150259.3
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,242.1,242.1,33391
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira varians,i,242.1,242.1,3303421.6
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,f,242.1,5568,305327.7
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,968.4,968.4,59651.5
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,95141,190282,34250.8
EMP_NZEZ2,EMP,2020-07-15,12:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Planktolyngbya,Planktolyngbya sp.,f,242.1,4115.5,11959.6
STN_610,STN,2020-07-16,06:10:00,Chromista,Bacillariophyta,Bacillariophyceae,Bacillaria,Bacillaria cf. paxillifera,i,74.8,74.8,178158.4
STN_610,STN,2020-07-16,06:10:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,74.8,74.8,70940.6
STN_610,STN,2020-07-16,06:10:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,74.8,74.8,160904
STN_610,STN,2020-07-16,06:10:00,Chromista,Bacillariophyta,Bacillariophyceae,Entomoneis,Entomoneis paludosa,i,149.6,149.6,2207825.2
STN_610,STN,2020-07-16,06:10:00,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula lanceolata,i,74.8,74.8,131165.1
STN_610,STN,2020-07-16,06:10:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia clausii,i,74.8,74.8,42070.4
STN_610,STN,2020-07-16,06:10:00,Chromista,Cryptophyta,Cryptophyceae,Cryptomonas,Cryptomonas marssonii,i,74.8,74.8,30022.3
STN_610,STN,2020-07-16,06:10:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,30141.1,60282.1,10850.8
MONT,STN,2020-07-16,07:03:00,Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros sp.,i,287.5,287.5,84968
MONT,STN,2020-07-16,07:03:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,143.7,143.7,69238.8
MONT,STN,2020-07-16,07:03:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia cf. acicularis,i,575,575,89464
MONT,STN,2020-07-16,07:03:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,287.5,287.5,16646.8
MONT,STN,2020-07-16,07:03:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,56058.8,112117.5,20181.2
MONT,STN,2020-07-16,07:03:00,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaena,Pseudanabaena sp.,f,143.7,1437.4,14901.9
MONT,STN,2020-07-16,07:03:00,Protozoa,Euglenozoa,Euglenophyceae,Trachelomonas,Trachelomonas volvocina,i,143.7,143.7,165351.1
STN_609,STN,2020-07-16,07:30:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,i,102.2,102.2,248520.2
STN_609,STN,2020-07-16,07:30:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,102.2,102.2,21980.6
STN_609,STN,2020-07-16,07:30:00,Chromista,Bacillariophyta,Bacillariophyceae,Entomoneis,Entomoneis paludosa,i,102.2,102.2,1305369.8
STN_609,STN,2020-07-16,07:30:00,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula lanceolata,i,102.2,102.2,154695.8
STN_609,STN,2020-07-16,07:30:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,102.2,102.2,4066.4
STN_609,STN,2020-07-16,07:30:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,43032.7,86065.4,15491.8
STN_606,STN,2020-07-16,08:43:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,i,80.7,80.7,33986.1
STN_606,STN,2020-07-16,08:43:00,Chromista,Bacillariophyta,Bacillariophyceae,Gyrosigma,Gyrosigma sp.,i,80.7,80.7,173348.7
STN_606,STN,2020-07-16,08:43:00,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula antonii,i,80.7,80.7,8442
STN_606,STN,2020-07-16,08:43:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,80.7,80.7,3210.3
STN_606,STN,2020-07-16,08:43:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,242.1,242.1,13160.3
STN_606,STN,2020-07-16,08:43:00,Bacteria,Cyanobacteria,Cyanophyceae,Dolichospermum,Dolichospermum sp.,f,80.7,2501.6,79572
STN_606,STN,2020-07-16,08:43:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,31794.4,63588.7,11446
STN_606,STN,2020-07-16,08:43:00,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaena,Pseudanabaena sp.,f,161.4,887.7,7808.3
STN_606,STN,2020-07-16,08:43:00,Protozoa,Dinozoa,Dinophyceae,Peridinium,Peridinium sp.,i,80.7,80.7,105681.9
FMWT_605,STN,2020-07-16,09:41:00,Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus sp.,i,105.7,105.7,4130275.6
FMWT_605,STN,2020-07-16,09:41:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,105.7,105.7,75719.3
