taxon,taxon_original,genus,species,algal_group,kingdom,phylum,class
Chroomonas sp.,NA,Chroomonas,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
cf. Chroomonas sp.,NA,Chroomonas,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Cryptomonas marssonii,NA,Cryptomonas,marssonii,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Cryptomonas sp.,NA,Cryptomonas,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
cf. Cryptomonas sp.,NA,Cryptomonas,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Hemiselmis sp.,NA,Hemiselmis,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
cf. Hemiselmis sp.,NA,Hemiselmis,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Plagioselmis cf. lacustris,NA,Plagioselmis,lacustris,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Plagioselmis lacustris,NA,Plagioselmis,lacustris,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Plagioselmis nannoplanctica,NA,Plagioselmis,nannoplanctica,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Plagioselmis sp.,NA,Plagioselmis,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
cf. Plagioselmis sp.,NA,Plagioselmis,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Rhodomonas sp,NA,Rhodomonas,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Rhodomonas sp.,NA,Rhodomonas,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Teleaulax amphioxeia,Plagioselmis prolonga,Teleaulax,amphioxeia,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Teleaulax amphioxeia,NA,Teleaulax,amphioxeia,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Teleaulax sp.,NA,Teleaulax,sp.,Cryptophytes,Chromista,Cryptista,Cryptophyceae
Chrysochromulina sp.,NA,Chrysochromulina,sp.,Haptophytes,Chromista,Haptophyta,Coccolithophyceae
cf. Chrysochromulina sp.,NA,Chrysochromulina,sp.,Haptophytes,Chromista,Haptophyta,Coccolithophyceae
Achnanthidium minutissimum,NA,Achnanthidium,minutissimum,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Achnanthidium sp.,NA,Achnanthidium,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Achnanthidium sp.,NA,Achnanthidium,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Amphora sp.,NA,Amphora,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Bacillaria cf. paxillifera,NA,Bacillaria,paxillifera,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Bacillaria sp.,NA,Bacillaria,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Cocconeis placentula,NA,Cocconeis,placentula,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Cocconeis sp.,NA,Cocconeis,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Cocconeis sp.,NA,Cocconeis,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Cylindrotheca closterium,NA,Cylindrotheca,closterium,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Cylindrotheca sp.,NA,Cylindrotheca,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Cymbella sp.,NA,Cymbella,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Cymbella sp.,NA,Cymbella,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Diatoma moniliformis,NA,Diatoma,moniliformis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Diatoma sp.,NA,Diatoma,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Diatoma sp.,NA,Diatoma,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Diatoma vulgaris,NA,Diatoma,vulgaris,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Diploneis bombus,NA,Diploneis,bombus,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Diploneis sp.,NA,Diploneis,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Diploneis sp.,NA,Diploneis,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Encyonema cf. lange-bertalotii,NA,Encyonema,lange-bertalotii,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Encyonema cf. neogracile,NA,Encyonema,neogracile,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Encyonema sp.,NA,Encyonema,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Entomoneis cf. paludosa,NA,Entomoneis,paludosa,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Entomoneis paludosa,NA,Entomoneis,paludosa,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Entomoneis sp.,NA,Entomoneis,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Entomoneis sp.,NA,Entomoneis,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Epithemia sp.,NA,Epithemia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Epithemia sp.,NA,Epithemia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Fallacia hodgeana,NA,Fallacia,hodgeana,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Fragilaria brevistriata,Pseudostaurosira brevistriata,Fragilaria,brevistriata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Fragilaria crotonensis,NA,Fragilaria,crotonensis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Fragilaria sp.,NA,Fragilaria,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Fragilaria sp.,NA,Fragilaria,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Fragilariforma sp.,NA,Fragilariforma,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Gomphonema affinopsis,NA,Gomphonema,affinopsis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Gomphonema sp.,NA,Gomphonema,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Gyrosigma fasciola,NA,Gyrosigma,fasciola,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Gyrosigma sp.,NA,Gyrosigma,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Hantzschia sp.,NA,Hantzschia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Hippodonta sp.,NA,Hippodonta,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Humidophila contenta,cf. Diadesmis sp.,Humidophila,contenta,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Mastogloia sp.,NA,Mastogloia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Mayamaea sp.,NA,Mayamaea,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Microcostatus sp.,NA,Microcostatus,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula antonii,NA,Navicula,antonii,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula caroliniae,NA,Navicula,caroliniae,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula cf. erifuga,NA,Navicula,erifuga,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula goersii,NA,Navicula,goersii,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula cf. lanceolata,NA,Navicula,lanceolata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula lanceolata,NA,Navicula,lanceolata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula cf. oppugnata,NA,Navicula,oppugnata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula rostellata,NA,Navicula,rostellata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula sp.,NA,Navicula,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Navicula sp.,NA,Navicula,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula spp.,NA,Navicula,spp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navicula subrostellata,NA,Navicula,subrostellata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Navigeia decussis,Geissleria decussis,Navigeia,decussis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Neidium sp.,NA,Neidium,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia acicularis,NA,Nitzschia,acicularis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia cf. acicularis,NA,Nitzschia,acicularis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia alpina,NA,Nitzschia,alpina,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia amphibia,NA,Nitzschia,amphibia,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia brevissima,NA,Nitzschia,brevissima,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia clausii,NA,Nitzschia,clausii,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia dissipata,NA,Nitzschia,dissipata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia exilis,NA,Nitzschia,exilis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia fonticola,NA,Nitzschia,fonticola,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia fruticosa,NA,Nitzschia,fruticosa,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia incognita,NA,Nitzschia,incognita,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia cf. inconspicua,NA,Nitzschia,inconspicua,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia inconspicua,NA,Nitzschia,inconspicua,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia liebetruthii,NA,Nitzschia,liebetruthii,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia longissima,NA,Nitzschia,longissima,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia palea,NA,Nitzschia,palea,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia cf. reversa,NA,Nitzschia,reversa,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia reversa,NA,Nitzschia,reversa,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia cf. sigma,NA,Nitzschia,sigma,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia sigma,NA,Nitzschia,sigma,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia sociabilis,NA,Nitzschia,sociabilis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia cf. soratensis,NA,Nitzschia,soratensis,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia sp.,NA,Nitzschia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Nitzschia sp.,NA,Nitzschia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Nitzschia spp.,NA,Nitzschia,spp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Pinnularia cf. moelderi,Pinnularia cf. hustedtii,Pinnularia,hustedtii,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Pinnularia sp.,NA,Pinnularia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Planothidium frequentissimum,NA,Planothidium,frequentissimum,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Planothidium incuriatum,NA,Planothidium,incuriatum,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Planothidium sp.,NA,Planothidium,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Pleurosigma sp.,NA,Pleurosigma,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Psammodictyon sp.,NA,Psammodictyon,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Pseudostaurosira sp.,NA,Pseudostaurosira,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Pseudostaurosira sp.,NA,Pseudostaurosira,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Reimeria sinuata,NA,Reimeria,sinuata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Reimeria sp.,NA,Reimeria,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
cf. Reimeria sp.,NA,Reimeria,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Rhoicosphenia abbreviata,NA,Rhoicosphenia,abbreviata,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
Rhoicosphenia sp.,NA,Rhoicosphenia,sp.,Pennate Diatoms,Chromista,Heterokontophyta,Bacillariophyceae
