"","water_year","month","SubRegion","month_BPUE","Season"
"1",1975,3,"Disappointment Slough",849.153449569244,"Spring"
"2",1975,3,"Franks Tract",755.523842216768,"Spring"
"3",1975,3,"Grizzly Bay",2984.75880279256,"Spring"
"4",1975,3,"Holland Cut",344.701251105194,"Spring"
"5",1975,3,"Honker Bay",11184.5404912139,"Spring"
"6",1975,3,"Lower Mokelumne River",1350.60558964022,"Spring"
"7",1975,3,"Lower Sacramento River",382.48404383131,"Spring"
"8",1975,3,"Lower San Joaquin River",1270.00217739083,"Spring"
"9",1975,3,"Mid Suisun Bay",4310.47669727246,"Spring"
"10",1975,3,"Mildred Island",587.760333376873,"Spring"
"11",1975,3,"Sacramento River near Rio Vista",299.56197030347,"Spring"
"12",1975,3,"San Joaquin River at Prisoners Pt",2168.35078851851,"Spring"
"13",1975,3,"San Joaquin River at Twitchell Island",1243.78004164578,"Spring"
"14",1975,3,"San Joaquin River near Stockton",2507.59778278364,"Spring"
"15",1975,3,"Suisun Marsh",23014.5744838221,"Spring"
"16",1975,3,"Upper Mokelumne River",1252.78343280781,"Spring"
"17",1975,3,"West Suisun Bay",12321.8383170609,"Spring"
"18",1975,4,"Confluence",5398.30516218836,"Spring"
"19",1975,4,"Disappointment Slough",8426.60928110091,"Spring"
"20",1975,4,"Franks Tract",718.748632469294,"Spring"
"21",1975,4,"Grizzly Bay",7572.08294275895,"Spring"
"22",1975,4,"Holland Cut",662.119520211229,"Spring"
"23",1975,4,"Honker Bay",8102.14763100918,"Spring"
"24",1975,4,"Lower Mokelumne River",2315.25916072555,"Spring"
"25",1975,4,"Lower Sacramento River",1417.7653912168,"Spring"
"26",1975,4,"Lower San Joaquin River",3602.14237288683,"Spring"
"27",1975,4,"Mid Suisun Bay",13852.0397340674,"Spring"
"28",1975,4,"Middle Sacramento River",952.398,"Spring"
"29",1975,4,"Mildred Island",3000.20690723907,"Spring"
"30",1975,4,"Sacramento River near Rio Vista",1009.00855464901,"Spring"
"31",1975,4,"San Joaquin River at Prisoners Pt",2300.06964209885,"Spring"
"32",1975,4,"San Joaquin River at Twitchell Island",1252.23892984979,"Spring"
"33",1975,4,"San Joaquin River near Stockton",4418.27121898237,"Spring"
"34",1975,4,"Suisun Marsh",10295.4553671012,"Spring"
"35",1975,4,"Upper Mokelumne River",459.528,"Spring"
"36",1975,4,"Victoria Canal",749.532217807214,"Spring"
"37",1975,4,"West Suisun Bay",32663.6993074247,"Spring"
"38",1975,5,"Confluence",14462.0743716219,"Spring"
"39",1975,5,"Disappointment Slough",30482.7258221162,"Spring"
"40",1975,5,"Franks Tract",5101.10274054955,"Spring"
"41",1975,5,"Grizzly Bay",34681.6953181598,"Spring"
"42",1975,5,"Holland Cut",8811.99886286431,"Spring"
"43",1975,5,"Honker Bay",12964.7061561174,"Spring"
"44",1975,5,"Lower Mokelumne River",27818.3423335014,"Spring"
"45",1975,5,"Lower Sacramento River",15180.2665073435,"Spring"
"46",1975,5,"Lower San Joaquin River",8198.52368583213,"Spring"
"47",1975,5,"Mid Suisun Bay",35464.816942588,"Spring"
"48",1975,5,"Middle Sacramento River",139.425,"Spring"
"49",1975,5,"Mildred Island",82030.5399397015,"Spring"
"50",1975,5,"Sacramento River near Rio Vista",5231.36350532014,"Spring"
"51",1975,5,"San Joaquin River at Prisoners Pt",24154.9261423769,"Spring"
"52",1975,5,"San Joaquin River at Twitchell Island",6393.81010877942,"Spring"
"53",1975,5,"San Joaquin River near Stockton",101445.817879023,"Spring"
"54",1975,5,"Suisun Marsh",20121.9484909896,"Spring"
"55",1975,5,"Upper Mokelumne River",9265.378,"Spring"
"56",1975,5,"Victoria Canal",24723.322186924,"Spring"
"57",1975,5,"West Suisun Bay",25863.5332630785,"Spring"
"58",1975,6,"Confluence",15461.8967791837,"Summer"
"59",1975,6,"Disappointment Slough",79490.4643267868,"Summer"
"60",1975,6,"Franks Tract",14132.8964689761,"Summer"
"61",1975,6,"Grizzly Bay",30421.0000887601,"Summer"
"62",1975,6,"Holland Cut",3701.37967447536,"Summer"
"63",1975,6,"Honker Bay",28634.5639585771,"Summer"
"64",1975,6,"Lower Mokelumne River",300.266108000429,"Summer"
"65",1975,6,"Lower Sacramento River",12624.8141954079,"Summer"
"66",1975,6,"Lower San Joaquin River",19258.1636421605,"Summer"
"67",1975,6,"Mid Suisun Bay",24787.7635765058,"Summer"
"68",1975,6,"Mildred Island",8564.0379422146,"Summer"
"69",1975,6,"Sacramento River near Rio Vista",2478.82789467427,"Summer"
"70",1975,6,"San Joaquin River at Prisoners Pt",26482.0016129873,"Summer"
"71",1975,6,"San Joaquin River at Twitchell Island",11492.8975005969,"Summer"
"72",1975,6,"San Joaquin River near Stockton",99265.6796738378,"Summer"
"73",1975,6,"Suisun Marsh",19658.085097128,"Summer"
"74",1975,6,"Upper Mokelumne River",0,"Summer"
"75",1975,6,"Victoria Canal",199.879216375036,"Summer"
