# SCHISM model salinity at Beldons Landing,
# 2022 Summer-fall alternatives
# converted to specific conductance
# Units: microSiemens/cm
# bn: below normal
# dry: dry year
# bdl: Beldons Landing
#smscg4: 4psu trigger at BDL
#smscg6: 6psu trigger at BDL
datetime,bdl_bn_noact,bdl_bn_smscg4,bdl_bn_smscg6,bdl_dry_noact
2021-12-06T00:15,20037,20037,20037,20037
2021-12-06T00:30,20137,20137,20137,20137
2021-12-06T00:45,20267,20267,20267,20267
2021-12-06T01:00,20408,20408,20408,20408
2021-12-06T01:15,20526,20526,20526,20526
2021-12-06T01:30,20612,20612,20612,20612
2021-12-06T01:45,20681,20681,20681,20681
2021-12-06T02:00,20743,20743,20743,20743
2021-12-06T02:15,20800,20800,20800,20800
2021-12-06T02:30,20849,20849,20849,20849
2021-12-06T02:45,20888,20888,20888,20888
2021-12-06T03:00,20913,20913,20913,20913
2021-12-06T03:15,20924,20924,20924,20924
2021-12-06T03:30,20923,20923,20923,20923
2021-12-06T03:45,20919,20919,20919,20919
2021-12-06T04:00,20916,20916,20916,20916
2021-12-06T04:15,20914,20914,20914,20914
2021-12-06T04:30,20914,20914,20914,20914
2021-12-06T04:45,20916,20916,20916,20916
2021-12-06T05:00,20919,20919,20919,20919
2021-12-06T05:15,20922,20922,20922,20922
2021-12-06T05:30,20926,20926,20926,20926
2021-12-06T05:45,20931,20931,20931,20931
2021-12-06T06:00,20935,20935,20935,20935
2021-12-06T06:15,20939,20939,20939,20939
2021-12-06T06:30,20944,20944,20944,20944
2021-12-06T06:45,20949,20949,20949,20949
2021-12-06T07:00,20955,20955,20955,20955
2021-12-06T07:15,20961,20961,20961,20961
2021-12-06T07:30,20971,20971,20971,20971
2021-12-06T07:45,20984,20984,20984,20984
2021-12-06T08:00,21001,21001,21001,21001
2021-12-06T08:15,21023,21023,21023,21023
2021-12-06T08:30,21047,21047,21047,21047
2021-12-06T08:45,21067,21067,21067,21067
2021-12-06T09:00,21082,21082,21082,21082
2021-12-06T09:15,21089,21089,21089,21089
2021-12-06T09:30,21088,21088,21088,21088
2021-12-06T09:45,21080,21080,21080,21080
2021-12-06T10:00,21067,21067,21067,21067
2021-12-06T10:15,21053,21053,21053,21053
2021-12-06T10:30,21045,21045,21045,21045
2021-12-06T10:45,21058,21058,21058,21058
2021-12-06T11:00,21113,21113,21113,21113
2021-12-06T11:15,21225,21225,21225,21225
2021-12-06T11:30,21385,21385,21385,21385
2021-12-06T11:45,21584,21584,21584,21584
2021-12-06T12:00,21818,21818,21818,21818
2021-12-06T12:15,22075,22075,22075,22075
2021-12-06T12:30,22344,22344,22344,22344
2021-12-06T12:45,22619,22619,22619,22619
2021-12-06T13:00,22906,22906,22906,22906
2021-12-06T13:15,23204,23204,23204,23204
2021-12-06T13:30,23508,23508,23508,23508
2021-12-06T13:45,23800,23800,23800,23800
2021-12-06T14:00,24063,24063,24063,24063
2021-12-06T14:15,24290,24290,24290,24290
2021-12-06T14:30,24476,24476,24476,24476
2021-12-06T14:45,24620,24620,24620,24620
2021-12-06T15:00,24726,24726,24726,24726
2021-12-06T15:15,24799,24799,24799,24799
2021-12-06T15:30,24844,24844,24844,24844
2021-12-06T15:45,24863,24863,24863,24863
2021-12-06T16:00,24843,24843,24843,24843
2021-12-06T16:15,24782,24782,24782,24782
2021-12-06T16:30,24671,24671,24671,24671
2021-12-06T16:45,24460,24460,24460,24460
2021-12-06T17:00,24205,24205,24205,24205
2021-12-06T17:15,23840,23840,23840,23840
2021-12-06T17:30,23399,23399,23399,23399
2021-12-06T17:45,22896,22896,22896,22896
2021-12-06T18:00,22460,22460,22460,22460
2021-12-06T18:15,22124,22124,22124,22124
2021-12-06T18:30,21847,21847,21847,21847
2021-12-06T18:45,21629,21629,21629,21629
2021-12-06T19:00,21484,21484,21484,21484
2021-12-06T19:15,21400,21400,21400,21400
2021-12-06T19:30,21349,21349,21349,21349
2021-12-06T19:45,21310,21310,21310,21310
2021-12-06T20:00,21270,21270,21270,21270
2021-12-06T20:15,21231,21231,21231,21231
2021-12-06T20:30,21208,21208,21208,21208
2021-12-06T20:45,21188,21188,21188,21188
2021-12-06T21:00,21156,21156,21156,21156
2021-12-06T21:15,21097,21097,21097,21097
2021-12-06T21:30,21035,21035,21035,21035
2021-12-06T21:45,20923,20923,20923,20923
2021-12-06T22:00,20774,20774,20774,20774
2021-12-06T22:15,20582,20582,20582,20582
2021-12-06T22:30,20345,20345,20345,20345
2021-12-06T22:45,20060,20060,20060,20060
2021-12-06T23:00,19749,19749,19749,19749
2021-12-06T23:15,19428,19428,19428,19428
2021-12-06T23:30,19101,19101,19101,19101
2021-12-06T23:45,18835,18835,18835,18835
2021-12-07T00:00,18700,18700,18700,18700
