"","Region","RunName","HSI_0.5","Year","Month","Action","HSI_mean"
"1","Cache Slough/Liberty Island","smscg_1940.06_hsit.avgmon_rma",13254,"1940","June","GateAction",0.305018752813339
"2","Cache Slough/Liberty Island","smscg_1940.07_hsit.avgmon_rma",1286,"1940","July","GateAction",0.270893275737762
"3","Cache Slough/Liberty Island","smscg_1940.08_hsit.avgmon_rma",3846,"1940","August","GateAction",0.283485859632492
"4","Cache Slough/Liberty Island","smscg_1940.09_hsit.avgmon_rma",14649,"1940","Sep","GateAction",0.310198783874512
"5","Cache Slough/Liberty Island","smscg_1940.10_hsit.avgmon_rma",10262,"1940","Oct","GateAction",0.304630666971207
"6","Cache Slough/Liberty Island","smscg_1979.06_hsit.avgmon_rma",33407,"1979","June","GateAction",0.304890483617783
"7","Cache Slough/Liberty Island","smscg_1979.07_hsit.avgmon_rma",4142,"1979","July","GateAction",0.272006213665009
"8","Cache Slough/Liberty Island","smscg_1979.08_hsit.avgmon_rma",5680,"1979","August","GateAction",0.286247253417969
"9","Cache Slough/Liberty Island","smscg_1979.09_hsit.avgmon_rma",8938,"1979","Sep","GateAction",0.294486463069916
"10","Cache Slough/Liberty Island","smscg_1979.10_hsit.avgmon_rma",9698,"1979","Oct","GateAction",0.301953762769699
"11","Cache Slough/Liberty Island","smscg_1986.06_hsit.avgmon_rma",1137,"1986","June","GateAction",0.258677303791046
"12","Cache Slough/Liberty Island","smscg_1986.07_hsit.avgmon_rma",164,"1986","July","GateAction",0.232929602265358
"13","Cache Slough/Liberty Island","smscg_1986.08_hsit.avgmon_rma",129,"1986","August","GateAction",0.224941745400429
"14","Cache Slough/Liberty Island","smscg_1986.09_hsit.avgmon_rma",13710,"1986","Sep","GateAction",0.289497971534729
"15","Cache Slough/Liberty Island","smscg_1986.10_hsit.avgmon_rma",10262,"1986","Oct","GateAction",0.302000820636749
"16","Cache Slough/Liberty Island","no.action_1940.06_hsit.avgmon_rma",13254,"1940","June","noAction",0.305019795894623
"17","Cache Slough/Liberty Island","no.action_1940.07_hsit.avgmon_rma",1285,"1940","July","noAction",0.270895034074783
"18","Cache Slough/Liberty Island","no.action_1940.08_hsit.avgmon_rma",3848,"1940","August","noAction",0.283495634794235
"19","Cache Slough/Liberty Island","no.action_1940.09_hsit.avgmon_rma",14646,"1940","Sep","noAction",0.310189515352249
"20","Cache Slough/Liberty Island","no.action_1940.10_hsit.avgmon_rma",10262,"1940","Oct","noAction",0.304632395505905
"21","Cache Slough/Liberty Island","no.action_1979.06_hsit.avgmon_rma",33407,"1979","June","noAction",0.304890662431717
"22","Cache Slough/Liberty Island","no.action_1979.07_hsit.avgmon_rma",4142,"1979","July","noAction",0.272006183862686
"23","Cache Slough/Liberty Island","no.action_1979.08_hsit.avgmon_rma",5674,"1979","August","noAction",0.28626012802124
"24","Cache Slough/Liberty Island","no.action_1979.09_hsit.avgmon_rma",8939,"1979","Sep","noAction",0.294502288103104
