"contrast","Region","estimate","SE","df","t.ratio","p.value"
"Year2017 - Year2018","River",0.752067738349641,0.24094025303095,2064.06266430536,3.12138685374848,0.0476277520880601
"Year2017 - Year2019","River",0.62059302113511,0.223880685072658,2064.01680211861,2.77198107078198,0.12433514238717
"Year2017 - Year2020","River",1.25770735755813,0.223293276644137,2064.01237734624,5.63253572369107,7.22166525357615e-07
"Year2017 - Year2021","River",1.23963593517489,0.221649756483896,2064.01124277256,5.59276921770477,9.05203580203739e-07
"Year2017 - Year2022","River",1.99968936358121,0.222718077454851,2064.00824308712,8.97856782185355,5.69747582446212e-11
"Year2017 - Year2023","River",-0.00237559388693643,0.327439705122924,2064.13342366166,-0.00725505749537799,1
"Year2017 - Year2024","River",0.439979437036236,0.320564449130989,2064.19383069428,1.37251475710724,0.908171470068593
"Year2017 - Year2025","River",1.17252214892889,0.298189780196244,2064.22358039045,3.93213391873201,0.00280524171423346
"Year2018 - Year2019","River",-0.131474717214531,0.205151677817626,2064.13133234429,-0.640865912544028,0.999367218369592
"Year2018 - Year2020","River",0.505639619208491,0.204510659880496,2064.12744557367,2.47243649550569,0.246044890656562
"Year2018 - Year2021","River",0.487568196825252,0.20281629183937,2064.1656675648,2.40398930679299,0.282113697567473
"Year2018 - Year2022","River",1.24762162523157,0.20393704328735,2064.14586854528,6.11768026603023,4.07385637446467e-08
"Year2018 - Year2023","River",-0.754443332236577,0.314783145952025,2064.14874463088,-2.39670815270256,0.286125871591228
"Year2018 - Year2024","River",-0.312088301313405,0.307558355924519,2064.19724287401,-1.01472873456899,0.984568746224983
"Year2018 - Year2025","River",0.420454410579254,0.284161435219178,2064.23056376702,1.47963220362732,0.865176609194073
"Year2019 - Year2020","River",0.637114336423023,0.183988260971989,2064.03400286252,3.46279883867167,0.0159383846828738
"Year2019 - Year2021","River",0.619042914039784,0.181955353689849,2064.02091103157,3.4021692766181,0.0195684644516385
"Year2019 - Year2022","River",1.3790963424461,0.183252928643503,2064.01515061671,7.52564421564564,5.96122040619207e-11
"Year2019 - Year2023","River",-0.622968615022046,0.301850048178283,2064.11684847687,-2.06383473775064,0.498646970775907
"Year2019 - Year2024","River",-0.180613584098873,0.294445140851743,2064.20374936976,-0.613403174446729,0.999541853471525
