"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Year2017 - Year2018",0.392808924603196,0.116790444225882,1427.14137116639,3.36336527535997,0.013889609299565
"2","Year2017 - Year2019",0.38530691764132,0.106654032532573,1427.2841980367,3.61268025682614,0.00579253498974375
"3","Year2017 - Year2020",0.465639727506523,0.107949186605437,1427.33892036996,4.31350843993361,0.000344187939860574
"4","Year2017 - Year2021",0.374194988366271,0.108177685401807,1427.31560812064,3.45907741486971,0.010012264937358
"5","Year2017 - Year2022",0.70915359211283,0.109809155956552,1427.36796677689,6.45805521347803,3.04245062476838e-09
"6","Year2017 - Year2023",-0.330152202419877,0.179419374371463,1427.48560439258,-1.84011455605872,0.520956729557921
"7","Year2018 - Year2019",-0.00750200696187614,0.0935788032985975,1427.98620350089,-0.0801678018678892,0.999999977347277
"8","Year2018 - Year2020",0.0728308029033267,0.0950991073373713,1428.10695045228,0.76584107824434,0.98807083793173
"9","Year2018 - Year2021",-0.0186139362369256,0.0953327166411614,1428.03191580717,-0.195252342456469,0.999995367396998
"10","Year2018 - Year2022",0.316344667509634,0.0972302876497014,1428.12983476372,3.25356095468268,0.0199543395418929
"11","Year2018 - Year2023",-0.722961127023074,0.171788138069142,1427.55619716763,-4.20844614272549,0.000543109527290753
"12","Year2019 - Year2020",0.0803328098652028,0.0813681087498837,1427.16829279151,0.987276355557639,0.956812825560875
"13","Year2019 - Year2021",-0.0111119292750494,0.0816207039758353,1427.04156149513,-0.136141061443665,0.999999460905376
"14","Year2019 - Year2022",0.32384667447151,0.0837141877660696,1427.05606203379,3.86848015985611,0.00219661110866098
"15","Year2019 - Year2023",-0.715459120061197,0.164751418135186,1427.42834506155,-4.34265834042248,0.000302667142856872
"16","Year2020 - Year2021",-0.0914447391402522,0.0832633733233034,1427.05630607165,-1.09825888011024,0.928737520726739
"17","Year2020 - Year2022",0.243513864606307,0.0853174083340388,1427.0685484404,2.85421075676478,0.0658618648445074
"18","Year2020 - Year2023",-0.7957919299264,0.16581980703097,1427.65756280742,-4.79913675076085,3.6191532807428e-05
"19","Year2021 - Year2022",0.334958603746559,0.0855910393326743,1427.01662337026,3.913477466311,0.0018385642803308
"20","Year2021 - Year2023",-0.704347190786148,0.165797549240738,1427.49380269641,-4.2482364426475,0.000457552282284501
"21","Year2022 - Year2023",-1.03930579453271,0.166864705121115,1427.51603261753,-6.228433950597,1.29685600036566e-08
