"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",8.53307044186978,0.481164051665459,10.3276995298189,17.734222688362,4.53578167811381e-09
"RegionRiver",0.55777470789539,0.471656232280494,1172.99331820778,1.1825873797925,0.237212366339269
"RegionSuisun Bay",-1.8671305736771,0.789231831629521,1172.99331851597,-2.36575680154974,0.0181551424011046
"Year2022",-4.21547405084313,0.340187264712045,1173.10053151,-12.391628047603,3.14703483627042e-33
"Year2021",-3.4486649141695,0.340191874155462,1173.10144682827,-10.1374111969338,3.29850273535829e-23
"Year2020",-3.14597472627259,0.341048391256525,1173.17265559687,-9.2244232986465,1.28658380854311e-19
"Year2019",-1.15774160584866,0.337241225326123,1173.12994461361,-3.43297769935774,0.000617808558569642
"Year2018",-2.78168621270067,0.370230050183676,1173.12800709101,-7.51339933460462,1.13876620359393e-13
"Year2017",-0.759812124148439,0.418447742651403,1173.11895041105,-1.81578736530888,0.0696581880068389
"RegionRiver:Year2022",2.21121588259683,0.521838613320095,1172.99575470175,4.23735581491068,2.43896239246877e-05
"RegionSuisun Bay:Year2022",0.91469415096521,0.853695075750159,1173.01285855141,1.07145300113328,0.284186188070596
"RegionRiver:Year2021",2.07006341305683,0.518308201403535,1172.99825847352,3.99388511980184,6.90431854563941e-05
"RegionSuisun Bay:Year2021",0.864264588506743,0.838269051745252,1172.99548404197,1.03101097041263,0.302748207370174
"RegionRiver:Year2020",1.83588961066615,0.520527906848194,1172.99360183464,3.52697633789223,0.000436569194864814
"RegionSuisun Bay:Year2020",0.164985842447012,0.828499101173684,1172.99363272053,0.199138227444407,0.842189130825947
"RegionRiver:Year2019",0.258792094242912,0.518454662956958,1172.99871362274,0.499160510519696,0.617759912478596
"RegionSuisun Bay:Year2019",0.980895000311492,0.825955109465875,1172.9948873228,1.18758875521191,0.235235893321872
"RegionRiver:Year2018",2.06494101052717,0.554429542003794,1172.99406690992,3.72444261008199,0.000205051022176284
"RegionSuisun Bay:Year2018",0.885174194226821,0.851532248766121,1172.99343793873,1.03950754126981,0.298782971019939
"RegionRiver:Year2017",0.726531064260102,0.597988470366934,1172.99686662946,1.21495831485562,0.224626491823279
"RegionSuisun Bay:Year2017",0.722552762043464,0.877257331168962,1173.00342835223,0.823649727817776,0.41030603913479
